tr_tra_name_2018,Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
Australia's Golden Outback,2015-01-01,np,np,np,np,1045,np,np,0
Australia's North West,2015-01-01,np,np,np,np,893,np,np,0
Australia's South West,2015-01-01,np,np,np,np,2588,np,np,np
Australia's Coral Coast,2015-01-01,np,np,np,np,1069,np,np,0
Hobart and the South,2015-01-01,188,317,np,np,np,476,np,np
East Coast,2015-01-01,np,np,np,np,np,177,np,np
Launceston and the North,2015-01-01,102,174,np,np,np,336,np,np
North West,2015-01-01,np,np,np,np,np,201,np,np
Darwin,2015-01-01,106,np,np,85,133,np,172,np
Alice Springs,2015-01-01,np,np,np,np,np,np,80,np
Litchfield Kakadu Arnhem,2015-01-01,np,np,np,np,np,0,164,0
Katherine Daly,2015-01-01,np,np,np,np,np,np,137,0
Canberra,2015-01-01,1514,323,197,70,np,np,np,np
Sydney,2016-01-01,4409,1661,1316,389,361,122,34,586
Blue Mountains,2016-01-01,814,np,np,np,np,np,np,np
Capital Country,2016-01-01,992,115,np,np,np,np,np,np
Central Coast,2016-01-01,1087,np,np,np,np,np,np,np
Central NSW,2016-01-01,1534,196,220,np,np,np,np,np
Hunter,2016-01-01,2760,119,217,np,np,np,np,np
New England North West,2016-01-01,905,89,325,np,np,np,np,np
North Coast NSW,2016-01-01,3045,298,1578,np,np,np,np,np
Outback NSW,2016-01-01,260,np,np,np,0,0,np,np
Riverina,2016-01-01,656,204,np,np,np,np,np,np
Snowy Mountains,2016-01-01,495,np,np,np,np,np,np,128
South Coast,2016-01-01,2544,302,137,np,np,np,np,461
The Murray,2016-01-01,292,643,np,np,np,np,np,np
Melbourne,2016-01-01,2340,3182,956,530,509,316,91,276
Ballarat,2016-01-01,np,496,np,np,np,np,np,np
Bendigo Loddon,2016-01-01,np,761,np,np,np,np,np,np
Central Highlands,2016-01-01,np,263,np,np,np,np,0,np
Central Murray,2016-01-01,np,596,np,np,np,np,np,np
Geelong and the Bellarine,2016-01-01,np,1104,np,np,np,np,np,np
Gippsland,2016-01-01,np,859,np,np,np,np,np,np
Goulburn,2016-01-01,np,378,np,np,np,np,np,np
Great Ocean Road,2016-01-01,np,1630,np,65,np,np,np,np
High Country,2016-01-01,235,1165,np,np,np,np,np,np
Lakes,2016-01-01,np,572,np,np,np,np,np,np
Macedon,2016-01-01,np,190,np,np,np,np,np,np
Mallee,2016-01-01,130,416,np,103,np,np,np,np
Melbourne East,2016-01-01,np,443,np,np,np,np,np,np
Murray East,2016-01-01,np,87,np,np,np,np,np,np
Peninsula,2016-01-01,87,1229,np,np,np,np,np,np
Phillip Island,2016-01-01,np,766,np,np,np,np,np,np
Spa Country,2016-01-01,np,298,np,np,np,np,0,np
Upper Yarra,2016-01-01,np,191,np,np,0,0,0,np
Western Grampians,2016-01-01,np,234,np,np,np,0,np,0
Wimmera,2016-01-01,np,109,np,np,0,np,0,np
Brisbane,2016-01-01,1455,627,3528,165,133,50,56,np
Bundaberg,2016-01-01,np,np,405,np,np,np,np,np
Southern Queensland Country,2016-01-01,198,np,1508,np,np,np,np,np
Fraser Coast,2016-01-01,np,np,486,np,np,np,np,np
Gold Coast,2016-01-01,1017,457,1622,100,np,np,np,np
Mackay,2016-01-01,np,np,660,np,np,np,np,np
Townsville,2016-01-01,103,94,933,np,np,np,np,np
Outback Queensland,2016-01-01,np,np,648,np,np,np,np,np
Sunshine Coast,2016-01-01,393,298,2473,np,np,np,np,np
Tropical North Queensland,2016-01-01,287,242,1136,93,np,np,np,np
Whitsundays,2016-01-01,109,np,260,np,np,np,np,np
Capricorn,2016-01-01,89,np,741,np,np,np,np,np
Gladstone,2016-01-01,np,np,419,np,np,np,np,np
Adelaide,2016-01-01,457,635,248,1003,167,np,52,np
Adelaide Hills,2016-01-01,np,np,np,100,np,np,np,np
Barossa,2016-01-01,np,np,np,111,np,0,np,0
Clare Valley,2016-01-01,np,np,np,117,np,np,np,0
Eyre Peninsula,2016-01-01,np,np,np,265,np,np,np,0
Fleurieu Peninsula,2016-01-01,np,np,np,538,np,np,np,np
Limestone Coast,2016-01-01,np,131,np,314,np,np,np,np
Murraylands,2016-01-01,np,np,0,274,np,0,np,0
Riverland,2016-01-01,np,np,np,266,np,np,np,0
Yorke Peninsula,2016-01-01,np,np,np,457,np,0,np,np
Flinders Ranges and Outback,2016-01-01,np,np,np,468,np,np,np,np
Experience Perth,2016-01-01,383,396,185,103,2998,np,np,np
Australia's Golden Outback,2016-01-01,np,np,np,np,927,np,np,0
Australia's North West,2016-01-01,np,np,np,np,900,np,np,0
Australia's South West,2016-01-01,np,np,np,np,2765,np,np,0
Australia's Coral Coast,2016-01-01,np,np,np,np,1087,0,np,0
Hobart and the South,2016-01-01,197,353,105,np,np,451,np,np
East Coast,2016-01-01,np,np,np,np,np,223,0,np
Launceston and the North,2016-01-01,87,184,np,np,np,296,np,np
North West,2016-01-01,np,149,np,np,np,229,np,np
Darwin,2016-01-01,88,135,132,np,np,np,201,np
Barkly,2016-01-01,np,np,np,np,np,np,53,0
Alice Springs,2016-01-01,np,np,np,np,np,np,87,np
Litchfield Kakadu Arnhem,2016-01-01,np,np,np,np,np,np,125,np
Katherine Daly,2016-01-01,np,np,np,np,np,np,218,np
Canberra,2016-01-01,1660,442,205,101,np,np,np,np
Sydney,2017-01-01,4818,1791,1420,362,310,119,63,573
Blue Mountains,2017-01-01,806,np,np,np,np,np,np,np
Capital Country,2017-01-01,886,106,np,np,np,np,np,88
Central Coast,2017-01-01,1232,np,np,np,np,np,np,np
Central NSW,2017-01-01,1799,181,225,np,np,np,np,np
Hunter,2017-01-01,2779,181,265,np,np,np,np,np
New England North West,2017-01-01,1091,98,306,np,np,np,np,np
North Coast NSW,2017-01-01,3164,287,1485,np,np,np,np,np
Outback NSW,2017-01-01,297,np,np,45,np,np,np,np
Riverina,2017-01-01,633,240,np,np,np,np,np,np
Snowy Mountains,2017-01-01,619,np,np,np,np,np,np,111
South Coast,2017-01-01,2745,341,np,np,np,np,np,450
The Murray,2017-01-01,384,597,np,np,np,np,np,np
Melbourne,2017-01-01,2661,3287,1041,652,442,402,64,178
Ballarat,2017-01-01,np,648,np,np,np,np,np,np
Bendigo Loddon,2017-01-01,np,887,np,np,np,np,np,np
Central Highlands,2017-01-01,np,321,np,np,np,np,np,np
Central Murray,2017-01-01,np,653,np,np,np,np,np,np
Geelong and the Bellarine,2017-01-01,np,1182,np,np,np,np,np,np
Gippsland,2017-01-01,np,1092,np,np,np,np,np,np
Goulburn,2017-01-01,np,520,np,np,np,np,np,np
Great Ocean Road,2017-01-01,97,1746,np,107,np,np,np,np
High Country,2017-01-01,203,1217,np,np,np,np,np,np
Lakes,2017-01-01,93,626,np,np,np,np,np,np
Macedon,2017-01-01,np,231,np,np,np,np,np,np
Mallee,2017-01-01,126,445,np,110,np,np,np,np
Melbourne East,2017-01-01,np,526,np,np,np,np,np,np
Murray East,2017-01-01,np,145,np,np,np,np,np,np
Peninsula,2017-01-01,np,1248,np,np,np,np,np,np
Phillip Island,2017-01-01,np,776,np,np,0,np,0,np
Spa Country,2017-01-01,np,278,np,np,np,np,np,0
Upper Yarra,2017-01-01,np,304,np,0,np,0,np,0
Western Grampians,2017-01-01,np,257,np,62,np,np,np,np
Wimmera,2017-01-01,np,146,np,np,np,np,np,0
Brisbane,2017-01-01,1686,599,4064,122,157,64,47,76
Bundaberg,2017-01-01,np,np,468,np,np,np,np,np
Southern Queensland Country,2017-01-01,231,np,1515,np,np,np,np,np
Fraser Coast,2017-01-01,np,np,443,np,np,np,np,np
Gold Coast,2017-01-01,973,515,1782,94,np,41,np,np
Mackay,2017-01-01,np,np,770,np,np,np,np,np
Townsville,2017-01-01,np,np,878,np,np,np,np,np
Outback Queensland,2017-01-01,73,np,741,np,np,np,np,np
Sunshine Coast,2017-01-01,470,308,2522,np,np,np,np,np
Tropical North Queensland,2017-01-01,227,261,1206,np,np,np,np,np
Whitsundays,2017-01-01,121,np,311,np,np,np,np,0
Capricorn,2017-01-01,np,np,854,np,np,np,np,np
Gladstone,2017-01-01,np,np,386,np,np,np,np,0
Adelaide,2017-01-01,495,668,220,1023,138,np,58,np
Adelaide Hills,2017-01-01,np,np,np,103,np,np,np,np
Barossa,2017-01-01,np,np,np,139,np,np,np,np
Clare Valley,2017-01-01,np,np,np,117,np,0,np,0
Eyre Peninsula,2017-01-01,np,np,np,305,np,np,np,np
Fleurieu Peninsula,2017-01-01,np,np,np,583,np,0,np,np
Limestone Coast,2017-01-01,np,176,np,314,np,np,np,np
Murraylands,2017-01-01,np,np,0,177,np,np,np,np
Riverland,2017-01-01,np,np,np,277,np,np,np,np
Yorke Peninsula,2017-01-01,np,np,np,427,np,np,np,np
Flinders Ranges and Outback,2017-01-01,np,80,np,424,np,np,np,0
Kangaroo Island,2017-01-01,np,np,np,61,np,0,np,0
Experience Perth,2017-01-01,365,310,173,113,2708,np,np,np
Australia's Golden Outback,2017-01-01,np,np,np,np,958,np,np,np
Australia's North West,2017-01-01,np,np,np,np,1038,np,np,np
Australia's South West,2017-01-01,np,np,np,np,2764,np,np,np
Australia's Coral Coast,2017-01-01,np,np,np,np,904,np,np,np
Hobart and the South,2017-01-01,281,370,128,np,np,536,np,np
East Coast,2017-01-01,np,np,np,np,np,231,np,np
Launceston and the North,2017-01-01,139,155,np,np,np,411,np,np
North West,2017-01-01,np,np,np,np,np,247,np,np
Darwin,2017-01-01,105,121,161,80,92,np,139,np
Barkly,2017-01-01,np,np,np,np,np,np,68,0
Alice Springs,2017-01-01,np,np,np,np,np,np,93,np
Litchfield Kakadu Arnhem,2017-01-01,np,np,np,np,np,np,162,0
Katherine Daly,2017-01-01,np,np,np,np,np,np,192,0
Canberra,2017-01-01,1709,477,221,90,97,np,np,np
