tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Barossa,2016-01-01,166,306,82,2,492,267
Clare Valley,2016-01-01,174,412,63,2,362,153
Eyre Peninsula,2016-01-01,390,"1,402",168,4,431,120
Fleurieu Peninsula,2016-01-01,688,"2,046",234,3,340,114
Limestone Coast,2016-01-01,498,"1,595",161,3,323,101
Murraylands,2016-01-01,325,768,69,2,212,90
Riverland,2016-01-01,364,"1,017",109,3,300,107
Yorke Peninsula,2016-01-01,504,"1,762",150,3,298,85
Flinders Ranges and Outback,2016-01-01,686,"2,862",354,4,517,124
Kangaroo Island,2016-01-01,110,420,72,4,658,172
Experience Perth,2016-01-01,"4,181","14,522","3,124",3,747,215
Australia's Golden Outback,2016-01-01,"1,105","4,871",539,4,487,111
Australia's North West,2016-01-01,"1,185","10,604","1,565",9,"1,320",148
Australia's South West,2016-01-01,"2,963","9,896","1,508",3,509,152
Australia's Coral Coast,2016-01-01,"1,140","5,358",784,5,688,146
Hobart and the South,2016-01-01,"1,200","4,403",913,4,760,207
East Coast,2016-01-01,388,"1,130",130,3,335,115
Launceston and the North,2016-01-01,669,"1,966",361,3,539,184
North West,2016-01-01,542,"1,988",272,4,502,137
West Coast,2016-01-01,149,360,85,2,573,237
Darwin,2016-01-01,725,"3,845",944,5,"1,302",246
Barkly,2016-01-01,122,274,np,2,np,np
Alice Springs,2016-01-01,295,"1,207",318,4,"1,078",263
Litchfield Kakadu Arnhem,2016-01-01,252,"1,053",102,4,407,97
Katherine Daly,2016-01-01,351,"1,343",186,4,530,138
Lasseter,2016-01-01,215,668,187,3,869,280
MacDonnell,2016-01-01,84,298,np,4,np,np
Canberra,2016-01-01,"2,514","6,410","1,383",3,550,216
Sydney,2017-01-01,"9,456","26,215","6,684",3,707,255
Blue Mountains,2017-01-01,962,"2,266",386,2,401,170
Capital Country,2017-01-01,"1,181","2,721",347,2,293,127
Central Coast,2017-01-01,"1,385","3,879",511,3,369,132
Central NSW,2017-01-01,"2,332","6,358",900,3,386,142
Hunter,2017-01-01,"3,346","8,648","1,563",3,467,181
New England North West,2017-01-01,"1,548","4,190",532,3,344,127
North Coast NSW,2017-01-01,"5,099","19,906","2,810",4,551,141
Outback NSW,2017-01-01,490,"1,857",343,4,700,185
Riverina,2017-01-01,"1,033","2,847",367,3,355,129
Snowy Mountains,2017-01-01,883,"3,091",577,4,653,187
South Coast,2017-01-01,"3,735","11,419","1,774",3,475,155
The Murray,2017-01-01,"1,108","2,898",364,3,328,125
Melbourne,2017-01-01,"8,728","23,803","7,449",3,853,313
Ballarat,2017-01-01,789,"1,753",234,2,296,133
Bendigo Loddon,2017-01-01,"1,057","2,647",270,3,255,102
Central Highlands,2017-01-01,382,869,115,2,302,132
Central Murray,2017-01-01,775,"2,318",278,3,358,120
Geelong and the Bellarine,2017-01-01,"1,404","3,689",499,3,355,135
Gippsland,2017-01-01,"1,248","3,397",340,3,272,100
Goulburn,2017-01-01,625,"1,411",164,2,263,116
Great Ocean Road,2017-01-01,"2,060","5,953",870,3,422,146
High Country,2017-01-01,"1,538","4,493",624,3,406,139
Lakes,2017-01-01,753,"2,092",225,3,299,107
Macedon,2017-01-01,324,773,102,2,315,132
Mallee,2017-01-01,733,"1,922",321,3,437,167
Melbourne East,2017-01-01,673,"1,544",198,2,294,128
Murray East,2017-01-01,195,436,45,2,229,103
Peninsula,2017-01-01,"1,416","4,063",464,3,328,114
Phillip Island,2017-01-01,873,"2,628",351,3,402,134
Spa Country,2017-01-01,338,750,157,2,465,209
Upper Yarra,2017-01-01,323,635,67,2,208,106
Western Grampians,2017-01-01,355,806,105,2,295,130
Wimmera,2017-01-01,166,365,39,2,237,108
Brisbane,2017-01-01,"6,815","19,999","3,980",3,584,199
Bundaberg,2017-01-01,556,"1,990",246,4,442,124
Southern Queensland Country,2017-01-01,"1,876","5,531",714,3,381,129
Fraser Coast,2017-01-01,571,"2,427",318,4,557,131
Gold Coast,2017-01-01,"3,534","13,612","2,966",4,839,218
Mackay,2017-01-01,883,"3,391",380,4,430,112
Townsville,2017-01-01,"1,096","3,716",756,3,689,203
Outback Queensland,2017-01-01,920,"3,514",558,4,606,159
Sunshine Coast,2017-01-01,"3,424","12,359","2,065",4,603,167
Tropical North Queensland,2017-01-01,"1,805","8,822","1,870",5,"1,036",212
Whitsundays,2017-01-01,515,"2,408",524,5,"1,018",218
Capricorn,2017-01-01,965,"3,318",585,3,606,176
Gladstone,2017-01-01,458,"1,666",202,4,442,121
Adelaide,2017-01-01,"2,677","8,302","2,168",3,810,261
Adelaide Hills,2017-01-01,188,592,69,3,367,116
Barossa,2017-01-01,225,616,99,3,439,160
Clare Valley,2017-01-01,190,414,55,2,288,132
Eyre Peninsula,2017-01-01,410,"1,744",232,4,567,133
Fleurieu Peninsula,2017-01-01,720,"2,027",246,3,343,122
Limestone Coast,2017-01-01,546,"1,638",231,3,423,141
Murraylands,2017-01-01,249,643,59,3,239,93
Riverland,2017-01-01,359,972,123,3,341,126
Yorke Peninsula,2017-01-01,496,"1,566",132,3,267,85
Flinders Ranges and Outback,2017-01-01,644,"2,564",301,4,468,118
Kangaroo Island,2017-01-01,99,380,96,4,967,253
Experience Perth,2017-01-01,"3,741","12,630","3,171",3,848,251
Australia's Golden Outback,2017-01-01,"1,045","4,651",526,4,503,113
Australia's North West,2017-01-01,"1,251","9,478","1,087",8,869,115
Australia's South West,2017-01-01,"2,961","9,858","1,609",3,543,163
Australia's Coral Coast,2017-01-01,992,"4,567",708,5,714,155
