tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Barkly,2014,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2014,,,,,,,,,,,,5,,19,5,11,6,4,7,6,,
Litchfield Kakadu Arnhem,2014,,,,,,,,,,,,,,,,,,,,,,
Katherine Daly,2014,,,,,,,,,,,,,,,1,,,,,,,
Lasseter,2014,,1,,,,,,,,,,6,,17,4,,8,3,6,8,,
MacDonnell,2014,,,,,,,,,,,,,,,,,,,,,,
Canberra,2014,3,,8,3,,,,,29,4,,5,,11,4,,,,,,,
Sydney,2015,123,99,109,76,57,60,30,160,566,107,339,77,312,108,56,72,37,23,31,37,23,31
Blue Mountains,2015,,,,,,,,,,,,4,,8,4,,,,2,,,
Capital Country,2015,,,,,,,,,,,,,,,,,,,,,,
Central Coast,2015,1,,,,,,,,,,,,,2,,,,,,,,
Central NSW,2015,,,,,,,,,,,,,,2,,,,,,,,
Hunter,2015,4,,,,,,,,,2,,7,30,11,4,5,1,,,,,
New England North West,2015,,,,,,,,,,,,,,,,,,,,,,
North Coast NSW,2015,3,,,,,,,,,,,17,63,33,17,15,6,8,11,6,,
Outback NSW,2015,,,,,,,,,,,,,,,,,,,,,,
Riverina,2015,,,,,,,,,,,,,,,,,,,,,,
Snowy Mountains,2015,,,,,,,,,,,,,,,,,,,,,,
South Coast,2015,2,,,,,,,,,3,,8,23,11,4,,,,,,,
The Murray,2015,,,,,,,,,,,,,,,,,,,,,,
Melbourne,2015,47,79,108,123,52,43,24,44,490,100,163,43,198,69,32,44,30,15,19,30,15,19
Ballarat,2015,,,,,,,,,,,,,,,,,,,,,,
Bendigo Loddon,2015,,,,,,,,,,,,,,,,,,,,,,
Central Highlands,2015,,,,,,,,,,,,,,,,,,,,,,
Central Murray,2015,,,,,,,,,,,,,,,,,,,,,,
Geelong and the Bellarine,2015,,,,,,,,,,0,,,,3,,,,,,,,
Gippsland,2015,,,,,,,,,,,,,,5,,,,,,,,
Goulburn,2015,,,,,,,,,,,,,,,,,,,,,,
Great Ocean Road,2015,2,,,6,,,,,,4,,7,26,16,5,,6,5,7,6,,
High Country,2015,,,,,,,,,,,,,,,,,,,,,,
Lakes,2015,,,,,,,,,,,,,,,,,,,,,,
Macedon,2015,,,,,,,,,,,,,,,,,,,,,,
Mallee,2015,,,,,,,,,,,,,,,,,,,,,,
Melbourne East,2015,0,,,,,,,,,,,,,,,,,,,,,
Murray East,2015,,,,,,,,,,,,,,,,,,,,,,
Peninsula,2015,2,,,,,,,,,,,,,2,,,,,,,,
Phillip Island,2015,,,,,,,,,,,,,,,,,,,,,,
Spa Country,2015,,,,,,,,,,,,,,,,,,,,,,
Upper Yarra,2015,,,,,,,,,,,,,,,,,,,,,,
Western Grampians,2015,,,,,,,,,,,,,,,,,,,,,,
Wimmera,2015,,,,,,,,,,,,,,,,,,,,,,
Brisbane,2015,35,31,30,22,10,36,9,30,187,30,89,26,123,54,21,25,13,10,15,13,10,
Bundaberg,2015,,,,,,,,,,,,,,5,1,,,,,,,
Southern Queensland Country,2015,,,,,,,,,,,,,,3,,,,,,,,
Fraser Coast,2015,,,,,,,,,,,,4,30,25,9,8,2,,6,2,,
Gold Coast,2015,53,23,32,26,7,24,3,,243,22,35,13,58,23,11,10,4,5,8,4,5,8
Mackay,2015,,,,,,,,,,,,,,6,2,,,,,,,
Townsville,2015,1,,,,,,,,,,,5,,21,7,6,3,,4,3,,
Outback Queensland,2015,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,2015,3,,,,,,,,,,,10,52,27,12,10,5,,7,5,6,
Tropical North Queensland,2015,91,20,4,3,,,1,,174,20,97,22,83,46,21,21,9,10,10,9,,10
Whitsundays,2015,6,1,,,,,,,,1,,9,43,31,11,10,4,7,7,4,,
Capricorn,2015,,,,,,,,,,,,,,10,4,,,,,,,
Gladstone,2015,,,,,,,,,,,,,,8,3,,,,3,,,
Adelaide,2015,6,12,13,14,5,6,,,,15,41,13,56,23,8,13,11,5,8,11,,
Adelaide Hills,2015,,,,,,,,,,,,,,,,,,,,,,
Barossa,2015,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2015,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2015,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2015,,,,,,,,,,,,,,2,,,,,,,,
Limestone Coast,2015,,,,,,,,,,,,,,4,,,,,,,,
"Murray River, Lakes and Coorong",2015,,,,,,,,,,,,,,,,,,,,,,
Riverland,2015,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2015,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2015,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Island,2015,,,,,,,,,,,,,,,,,,1,,,,
Experience Perth,2015,22,19,78,79,27,10,9,11,43,19,66,17,138,31,15,18,12,9,11,12,9,
Australia's Golden Outback,2015,,,,,,,,,,,,,,4,,,,,,,,
Australia's North West,2015,1,,,,,,,,,,,3,,8,1,,,,,,,
Australia's South West,2015,2,,,11,2,,,,,,,4,,9,5,,2,,,,,
Australia's Coral Coast,2015,,,,,,,,,,,,,,10,2,,2,,,2,,
Hobart and the South,2015,,,9,6,,,,,,3,,6,,10,4,,2,,,,,
East Coast,2015,,,,,,,,,,,,,,,,,,,,,,
