tr_tra_name_2018,Date,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
Snowy Mountains,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
South Coast,2015-01-01,12,np,np,np,np,np,np,np,np,9,np,12,7,22,13,np,np,np,3,np
The Murray,2015-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne,2015-01-01,294,44,73,97,114,54,39,24,39,436,95,156,45,188,75,31,41,31,17,19
Ballarat,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Bendigo Loddon,2015-01-01,np,np,np,np,np,0,0,np,0,np,np,np,np,np,np,np,np,np,np,np
Central Highlands,2015-01-01,np,np,np,np,np,np,0,0,np,np,np,np,np,np,7,np,np,np,np,np
Central Murray,2015-01-01,np,0,0,0,np,np,np,0,0,np,0,np,0,np,np,np,np,np,np,np
Geelong and the Bellarine,2015-01-01,np,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np
Gippsland,2015-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,6,np,np,np,np,np,np
Goulburn,2015-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,0
High Country,2015-01-01,np,np,np,np,np,0,0,0,np,np,np,np,np,np,np,np,np,np,np,np
Lakes,2015-01-01,np,0,np,np,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Macedon,2015-01-01,np,0,0,np,0,0,0,0,0,np,0,np,np,np,np,0,np,np,np,0
Mallee,2015-01-01,np,np,np,0,np,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne East,2015-01-01,8,0,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np
Murray East,2015-01-01,np,0,0,0,np,0,0,0,0,0,0,0,0,np,0,np,0,0,np,0
Peninsula,2015-01-01,10,np,np,np,np,np,np,np,np,np,np,np,np,11,np,np,np,np,np,np
Phillip Island,2015-01-01,np,np,np,np,np,np,np,np,0,np,0,np,np,np,np,np,np,np,np,np
Spa Country,2015-01-01,np,0,np,np,np,np,0,0,0,np,0,np,np,np,0,0,np,0,0,np
Upper Yarra,2015-01-01,np,0,0,np,np,0,0,0,0,np,0,0,np,np,0,0,0,0,np,0
Great Ocean Road,2015-01-01,13,np,np,np,np,np,np,np,np,23,np,11,np,25,19,7,9,6,5,7
Western Grampians,2015-01-01,np,0,np,np,0,np,0,0,np,0,0,np,np,np,np,np,np,np,np,np
Wimmera,2015-01-01,np,0,0,0,0,np,np,0,0,0,0,np,0,np,np,0,0,0,np,np
Brisbane,2015-01-01,193,27,27,28,19,11,32,8,27,165,27,79,26,125,53,24,24,13,11,14
Bundaberg,2015-01-01,np,np,np,0,np,np,np,0,np,np,np,np,np,6,6,np,np,np,np,np
Southern Queensland Country,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np,np
Fraser Coast,2015-01-01,np,np,np,np,0,np,np,np,np,np,np,8,6,36,26,9,7,np,6,8
