DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,15520,Murray River (A),20.7,0.4,8.1,1.3,7.1,3.1,9.8,11.1,3.4,0.6,1.6,1,3,1.4,4.7,6.3,9,1.8,2.7,4815
2011,15560,Murrumbidgee (A),37.6,0.2,8.2,2.4,3.6,2.1,6.2,4.2,4.2,0.2,1.4,0.3,1.9,1.3,4.7,5.9,7.5,1,2.8,1773
2011,15650,Muswellbrook (A),7.1,21.3,5.5,4.5,6.7,3.3,9.2,6.9,3,0.4,1.1,1.3,2.9,3.1,4,4.8,6.9,1,4.5,7403
2011,15700,Nambucca (A),6.1,0.4,7.4,0.8,9.1,2.2,12.9,9,4.2,1,1.6,1.4,3.6,2.9,5.5,9.8,14.8,1.4,3.8,6025
2011,15750,Narrabri (A),21.4,3.9,5,1.2,5.9,3.6,9.7,6.2,6.2,0.5,1.3,0.8,4.3,1.9,4.6,6.2,9.6,0.6,4.2,5836
2011,15800,Narrandera (A),19,0.3,10.7,1.1,5.2,2.8,9.1,7.3,5.7,0.5,1.2,0.7,2.3,1.6,7.1,7.4,11.4,0.5,3.4,2440
2011,15850,Narromine (A),25.4,1.5,4.3,1.9,5.8,4,9.2,3.5,5.9,0.4,1.2,0.8,3.6,1.3,5.6,8.7,11,0.4,3.3,2826
2011,15900,Newcastle (C),0.3,1.6,9.2,1.6,6.6,2.8,10.4,7.7,4.1,1.2,3.4,1.5,7.4,3,6.8,9.4,15.9,1.4,3.7,70256
2011,15950,North Sydney (A),0.2,0.3,3.8,0.5,3.3,4.8,5.8,5,2.3,6,13.9,2.7,21.4,3.8,4.5,6.8,8.7,1.8,2.4,37793
2011,15990,Northern Beaches (A),0.2,0.2,6.3,0.7,8.2,6.4,9.7,5.5,2.9,3.8,6.9,2.3,13.2,3.8,4.1,7.8,10.1,1.8,3.9,121635
2011,16100,Oberon (A),17.4,0.9,18.9,1,6,2.3,7,6.2,4.9,0.8,1.3,1.1,3.6,2.2,6.7,5.6,6.3,2.4,2.9,2318
2011,16150,Orange (C),2,6.4,8.6,0.9,7.2,2.8,11.4,6.5,3.9,1,1.9,1.3,4.5,2.8,7,8.7,16.2,0.6,4.5,17247
2011,16200,Parkes (A),11.3,7.2,5.5,1.1,5.9,2.9,11.6,7.4,6.7,0.6,1.2,0.8,3.2,2.1,6.9,7.3,11.3,0.6,4.5,6030
2011,16260,Parramatta (C),0.2,0.1,8.6,0.9,6,6.5,9.8,5.7,4.4,3,7.1,1.5,9.9,3.6,5.5,7.8,12.1,1.3,3.5,92391
2011,16350,Penrith (C),0.6,0.2,11.8,1.5,9.4,5.5,11.3,5.5,7.4,1.4,4.4,1.5,4.1,3,7.4,6.7,10.2,1.3,4.2,87226
2011,16380,Port Macquarie-Hastings (A),2.6,0.4,5.4,4.2,9.1,2.6,13.5,8.9,3.6,1,2.3,1.9,4.3,3.2,5.2,8.5,16,1.2,4.2,27622
2011,16400,Port Stephens (A),1.3,1.8,10.6,1,8.5,2.7,11.6,8.9,5.5,0.8,1.8,1.8,4.6,3.1,10.5,6.3,11.3,1.4,4.4,26608
2011,16490,Queanbeyan-Palerang Regional (A),1.6,0.2,4.9,1.4,9.8,2.3,9,5,3.7,1.5,1.5,1.4,7.1,2.7,26.4,6.2,8.4,1.4,3.6,28712
