sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Gingin - Dandaragan,2015-10-01,1236,3038,40.7,2170,8618,25.2,174942,141.54,57.58
Waroona,2015-11-01,,,,,,,,,
Halls Head - Erskine,2015-11-01,,,,,,,,,
Mandurah,2015-11-01,8127,15000,54.2,15357,55350,27.7,1250249,153.84,83.35
Mandurah - East,2015-11-01,,,,,,,,,
Pinjarra,2015-11-01,,,,,,,,,
Cottesloe,2015-11-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2015-11-01,,,,,,,,,
Perth City,2015-11-01,163361,185490,88.1,233412,452100,51.6,32539076,199.18,175.42
Subiaco - Shenton Park,2015-11-01,,,,,,,,,
Bayswater - Embleton - Bedford,2015-11-01,,,,,,,,,
Mundaring,2015-11-01,,,,,,,,,
Ellenbrook,2015-11-01,,,,,,,,,
Midland - Guildford,2015-11-01,,,,,,,,,
The Vines,2015-11-01,,,,,,,,,
Heathridge - Connolly,2015-11-01,,,,,,,,,
Hillarys,2015-11-01,,,,,,,,,
Sorrento - Marmion,2015-11-01,,,,,,,,,
Scarborough,2015-11-01,13844,16350,84.7,23521,40380,58.2,2756705,199.13,168.61
Trigg - North Beach - Watermans Bay,2015-11-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2015-11-01,,,,,,,,,
Yanchep,2015-11-01,,,,,,,,,
Armadale - Wungong - Brookdale,2015-11-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2015-11-01,17142,21690,79,22735,43860,51.8,3367128,196.43,155.24
Rivervale - Kewdale - Cloverdale,2015-11-01,6799,10920,62.3,12516,31530,39.7,1167757,171.75,106.94
Victoria Park - Lathlain - Burswood,2015-11-01,,,,,,,,,
Bentley - Wilson - St James,2015-11-01,,,,,,,,,
Beckenham - Kenwick - Langford,2015-11-01,,,,,,,,,
Como,2015-11-01,4727,6060,78,7472,17520,42.6,915765,193.73,151.12
South Perth - Kensington,2015-11-01,5388,6674,80.7,9494,22334,42.5,1077652,200.01,161.47
Henderson,2015-11-01,,,,,,,,,
East Fremantle,2015-11-01,,,,,,,,,
Fremantle,2015-11-01,15325,19310,79.4,23643,46360,51,3353978,218.86,173.69
Booragoon,2015-11-01,,,,,,,,,
Baldivis,2015-11-01,,,,,,,,,
Rockingham,2015-11-01,,,,,,,,,
Chittering,2015-11-01,,,,,,,,,
Northam,2015-11-01,,,,,,,,,
Toodyay,2015-11-01,,,,,,,,,
York - Beverley,2015-11-01,,,,,,,,,
Esperance,2015-11-01,5044,7110,70.9,6948,21840,31.8,679422,134.7,95.56
Esperance Region,2015-11-01,,,,,,,,,
Kalgoorlie,2015-11-01,14753,27000,54.6,17345,65520,26.5,1843333,124.95,68.27
Kambalda - Coolgardie - Norseman,2015-11-01,3014,7380,40.8,4171,20640,20.2,340394,112.93,46.12
Leinster - Leonora,2015-11-01,1106,2880,38.4,1128,5400,20.9,177436,160.43,61.61
Meekatharra,2015-11-01,,,,,,,,,
Merredin,2015-11-01,,,,,,,,,
Moora,2015-11-01,1365,2550,53.5,1563,5850,26.7,144757,106.05,56.77
Mukinbudin,2015-11-01,,,,,,,,,
Kulin,2015-11-01,,,,,,,,,
Narrogin,2015-11-01,,,,,,,,,
