sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Mayfield - Warabrook,2016-01-01,5,193,527
Merewether - The Junction,2016-01-01,1,,
Newcastle - Cooks Hill,2016-01-01,8,686,1838
Stockton - Fullerton Cove,2016-01-01,2,,
Wallsend - Elermore Vale,2016-01-01,1,,
Armidale,2016-01-01,17,446,1379
Armidale Region - North,2016-01-01,1,,
Armidale Region - South,2016-01-01,2,,
Walcha,2016-01-01,1,,
Glen Innes,2016-01-01,6,145,389
Inverell,2016-01-01,5,103,277
Tenterfield,2016-01-01,9,201,602
Moree,2016-01-01,11,,
Narrabri,2016-01-01,7,200,595
Narrabri Region,2016-01-01,1,,
Gunnedah,2016-01-01,6,160,409
Quirindi,2016-01-01,2,,
Tamworth - East,2016-01-01,12,443,1228
Tamworth - North,2016-01-01,14,447,1300
Bourke - Brewarrina,2016-01-01,3,74,241
Cobar,2016-01-01,5,,
Nyngan - Warren,2016-01-01,5,125,353
Walgett - Lightning Ridge,2016-01-01,5,,
Broken Hill,2016-01-01,12,318,838
Far West,2016-01-01,2,,
Avoca Beach - Copacabana,2016-01-01,2,,
Gosford - Springfield,2016-01-01,7,281,723
Kariong,2016-01-01,1,,
Terrigal - North Avoca,2016-01-01,5,343,1241
Umina - Booker Bay - Patonga,2016-01-01,2,,
Wamberal - Forresters Beach,2016-01-01,3,106,297
Woy Woy - Blackwall,2016-01-01,2,,
Wyoming,2016-01-01,1,,
Chittaway Bay - Tumbi Umbi,2016-01-01,1,,
Gorokan - Kanwal - Charmhaven,2016-01-01,2,,
The Entrance,2016-01-01,10,401,1010
Toukley - Norah Head,2016-01-01,2,,
Wyong,2016-01-01,2,,
Oberon,2016-01-01,4,166,432
Lithgow,2016-01-01,6,,
Lithgow Region,2016-01-01,2,,
Blackheath - Megalong Valley,2016-01-01,7,193,521
Katoomba - Leura,2016-01-01,17,877,2438
Springwood - Winmalee,2016-01-01,1,,
Grafton,2016-01-01,11,300,871
Grafton Region,2016-01-01,1,,
Maclean - Yamba - Iluka,2016-01-01,9,242,765
Coffs Harbour - North,2016-01-01,13,699,1757
Coffs Harbour - South,2016-01-01,14,448,1326
Dorrigo,2016-01-01,1,,
Korora - Emerald Beach,2016-01-01,4,163,531
Sawtell - Boambee,2016-01-01,2,,
Urunga,2016-01-01,1,,
Woolgoolga - Arrawarra,2016-01-01,5,,
Tea Gardens - Hawks Nest,2016-01-01,5,142,478
Bulahdelah - Stroud,2016-01-01,3,65,180
Forster,2016-01-01,10,271,774
Forster-Tuncurry Region,2016-01-01,1,,
Tuncurry,2016-01-01,3,66,217
Kempsey,2016-01-01,9,,
Kempsey Region,2016-01-01,1,,
Macksville - Scotts Head,2016-01-01,2,,
Nambucca Heads,2016-01-01,4,108,341
South West Rocks,2016-01-01,3,80,260
Lord Howe Island,2016-01-01,1,,
Laurieton - Bonny Hills,2016-01-01,2,,
Port Macquarie - East,2016-01-01,21,888,2857
Port Macquarie - West,2016-01-01,8,299,865
Wauchope,2016-01-01,1,,
Old Bar - Manning Point - Red Head,2016-01-01,3,116,487
Taree,2016-01-01,14,298,812
Taree Region,2016-01-01,1,,
Wingham,2016-01-01,2,,
Ballina,2016-01-01,11,388,1068
Ballina Region,2016-01-01,2,,
Brunswick Heads - Ocean Shores,2016-01-01,2,,
Byron Bay,2016-01-01,16,557,1505
Evans Head,2016-01-01,2,,
Lennox Head - Skennars Head,2016-01-01,1,,
Casino,2016-01-01,4,86,231
Lismore,2016-01-01,9,260,733
Kingscliff - Fingal Head,2016-01-01,5,618,1366
Murwillumbah,2016-01-01,2,,
Pottsville,2016-01-01,5,171,585
Tweed Heads,2016-01-01,7,469,1902
Tweed Heads - South,2016-01-01,5,107,333
Batemans Bay,2016-04-01,14,447,1476
Batemans Bay - South,2016-04-01,4,97,284
Bega - Tathra,2016-04-01,4,112,301
Eden,2016-04-01,7,167,410
Eurobodalla Hinterland,2016-04-01,2,,
Merimbula - Tura Beach,2016-04-01,16,393,1151
Moruya - Tuross Head,2016-04-01,3,60,178
Narooma - Bermagui,2016-04-01,5,111,307
Berkeley - Warrawong - Windang,2016-04-01,2,,
Dapto - Avondale,2016-04-01,2,,
Albion Park Rail,2016-04-01,1,,
Kiama,2016-04-01,3,,
Kiama Hinterland - Gerringong,2016-04-01,4,141,367
Shellharbour - Flinders,2016-04-01,3,78,215
Warilla,2016-04-01,1,,
Balgownie - Fairy Meadow,2016-04-01,2,,
Thirroul - Austinmer - Coalcliff,2016-04-01,1,,
Wollongong,2016-04-01,17,887,2093
Woonona - Bulli - Russell Vale,2016-04-01,1,,
Berry - Kangaroo Valley,2016-04-01,4,111,450
Huskisson - Vincentia,2016-04-01,4,98,320
North Nowra - Bomaderry,2016-04-01,2,,
Nowra,2016-04-01,8,297,817
Ulladulla,2016-04-01,9,207,563
Ulladulla Region,2016-04-01,1,,
Baulkham Hills (West) - Bella Vista,2016-04-01,2,,
Castle Hill,2016-04-01,2,,
Dural - Kenthurst - Wisemans Ferry,2016-04-01,2,,
Pitt Town - McGraths Hill,2016-04-01,2,,
Blacktown (South),2016-04-01,1,,
Seven Hills - Toongabbie,2016-04-01,2,,
Glendenning Dean Park,2016-04-01,1,,
Mount Druitt - Whalan,2016-04-01,1,,
Rooty Hill - Minchinbury,2016-04-01,1,,
Mascot - Eastlakes,2016-04-01,7,1496,3309
Sydney Airport,2016-04-01,1,,
Sydenham - Tempe - St Peters,2016-04-01,1,,
Darlinghurst,2016-04-01,8,565,1381
Glebe - Forest Lodge,2016-04-01,3,,
Newtown - Camperdown - Darlington,2016-04-01,4,311,829
Potts Point - Woolloomooloo,2016-04-01,15,1487,3156
Pyrmont - Ultimo,2016-04-01,7,1966,4871
Redfern - Chippendale,2016-04-01,6,288,729
Surry Hills,2016-04-01,8,1012,2473
Sydney - Haymarket - The Rocks,2016-04-01,77,15776,36059
Waterloo - Beaconsfield,2016-04-01,2,,
Bondi Beach - North Bondi,2016-04-01,3,,
Bondi Junction - Waverly,2016-04-01,2,,
Double Bay - Bellevue Hill,2016-04-01,3,,
Paddington - Moore Park,2016-04-01,1,,
Woollahra,2016-04-01,1,,
Coogee - Clovelly,2016-04-01,5,464,1383
Kensington - Kingsford,2016-04-01,2,,
Maroubra,2016-04-01,1,,
Randwick,2016-04-01,9,253,610
Bankstown,2016-04-01,2,,
Bass Hill - Georges Hall,2016-04-01,3,200,607
Condell Park,2016-04-01,1,,
Greenacre - Mount Lewis,2016-04-01,4,217,531
South Hurstville - Blakehurst,2016-04-01,1,,
Arncliffe - Bardwell Valley,2016-04-01,3,452,922
Monterey - Brighton-le-Sands - Kyeemagh,2016-04-01,1,,
Drummoyne - Rodd Point,2016-04-01,1,,
Ashfield,2016-04-01,4,160,354
Burwood - Croydon,2016-04-01,1,,
Haberfield - Summer Hill,2016-04-01,2,,
Homebush,2016-04-01,2,,
Strathfield,2016-04-01,1,,
Chatswood (East) - Artarmon,2016-04-01,3,,
Chatswood (West) - Lane Cove North,2016-04-01,2,,
Lane Cove - Greenwich,2016-04-01,5,258,574
St Leonards - Naremburn,2016-04-01,1,,
Hornsby - Waitara,2016-04-01,2,,
Normanhurst - Thornleigh - Westleigh,2016-04-01,1,,
Gordon - Killara,2016-04-01,1,,
Cremorne - Cammeray,2016-04-01,2,,
Neutral Bay - Kirribilli,2016-04-01,1,,
North Sydney - Lavender Bay,2016-04-01,5,499,1233
Manly - Fairlight,2016-04-01,9,568,1379
Newport - Bilgola,2016-04-01,1,,
Freshwater - Brookvale,2016-04-01,1,,
Narrabeen - Collaroy,2016-04-01,1,,
Terrey Hills - Duffys Forest,2016-04-01,1,,
Camden - Ellis Lane,2016-04-01,2,,
Elderslie - Harrington Park,2016-04-01,1,,
Campbelltown - Woodbine,2016-04-01,6,419,1208
Picton - Tahmoor - Buxton,2016-04-01,1,,
Cambridge Park,2016-04-01,1,,
Jamisontown - South Penrith,2016-04-01,2,,
Penrith,2016-04-01,2,,
Richmond - Clarendon,2016-04-01,3,89,264
Windsor - Bligh Park,2016-04-01,3,147,337
St Clair,2016-04-01,1,,
St Marys - Colyton,2016-04-01,2,,
Homebush Bay - Silverwater,2016-04-01,3,502,1228
Lidcombe - Regents Park,2016-04-01,2,,
Guildford West - Merrylands West,2016-04-01,1,,
Girraween - Westmead,2016-04-01,1,,
North Parramatta,2016-04-01,1,,
Northmead,2016-04-01,1,,
Parramatta - Rosehill,2016-04-01,9,1318,3173
Pennant Hills - Cheltenham,2016-04-01,1,,
Hunters Hill - Woolwich,2016-04-01,1,,
Macquarie Park - Marsfield,2016-04-01,5,604,1348
North Ryde - East Ryde,2016-04-01,1,,
Ryde - Putney,2016-04-01,1,,
West Ryde - Meadowbank,2016-04-01,1,,
Cabramatta - Lansvale,2016-04-01,2,,
Casula,2016-04-01,5,314,941
Liverpool - Warwick Farm,2016-04-01,4,217,664
Prestons - Lurnea,2016-04-01,1,,
Cronulla - Kurnell - Bundeena,2016-04-01,3,,
Miranda - Yowie Bay,2016-04-01,1,,
Sylvania - Taren Point,2016-04-01,1,,
Engadine - Loftus,2016-04-01,1,,
Menai - Lucas Heights - Woronora,2016-04-01,1,,
Sutherland - Kirrawee,2016-04-01,1,,
Bombala,2016-04-01,1,,
Cooma,2016-04-01,10,312,1091
Cooma Region,2016-04-01,3,,
Jindabyne - Berridale,2016-04-01,44,1966,7714
Tumbarumba,2016-04-01,3,83,228
Tumut,2016-04-01,6,,
Goulburn,2016-04-01,14,484,1345
Yass,2016-04-01,6,151,459
Yass Region,2016-04-01,4,,
Young,2016-04-01,4,112,321
Young Region,2016-04-01,1,,
Queanbeyan,2016-04-01,7,222,637
Queanbeyan - East,2016-04-01,5,233,632
Queanbeyan Region,2016-04-01,1,,
Queanbeyan West - Jerrabomberra,2016-04-01,1,,
Bowral,2016-04-01,8,293,650
Mittagong,2016-04-01,5,151,398
Moss Vale - Berrima,2016-04-01,4,114,261
Southern Highlands,2016-04-01,3,87,220
Albury - East,2016-04-01,2,,
Albury - North,2016-04-01,1,,
Albury - South,2016-04-01,26,1052,2929
Albury Region,2016-04-01,3,73,178
Lavington,2016-04-01,4,171,460
Wentworth - Buronga,2016-04-01,10,250,746
Wentworth-Balranald Region,2016-04-01,6,120,286
Corowa,2016-04-01,7,166,465
Corowa Region,2016-04-01,5,143,448
Deniliquin,2016-04-01,7,148,426
Deniliquin Region,2016-04-01,8,199,675
Moama,2016-04-01,11,351,1031
Tocumwal - Finley - Jerilderie,2016-04-01,17,413,1342
Hay,2016-04-01,7,176,478
Griffith (NSW),2016-04-01,10,342,1035
Leeton,2016-04-01,4,115,344
Narrandera,2016-04-01,5,130,325
Cootamundra,2016-04-01,5,111,260
Gundagai,2016-04-01,7,174,509
Junee,2016-04-01,2,,
Temora,2016-04-01,2,,
Wagga Wagga - East,2016-04-01,4,152,501
Wagga Wagga - North,2016-04-01,1,,
Wagga Wagga - West,2016-04-01,24,860,2449
Wagga Wagga Region,2016-04-01,1,,
Bathurst,2016-04-01,14,580,1674
Bathurst - East,2016-04-01,1,,
Condobolin,2016-04-01,2,,
Cowra,2016-04-01,7,165,443
Cowra Region,2016-04-01,1,,
Forbes,2016-04-01,6,156,442
Grenfell,2016-04-01,1,,
Parkes (NSW),2016-04-01,10,293,793
West Wyalong,2016-04-01,7,171,429
Mudgee,2016-04-01,8,293,811
Mudgee Region - West,2016-04-01,2,,
Blayney,2016-04-01,2,,
Orange,2016-04-01,13,562,1410
Orange Region,2016-04-01,1,,
Coonamble,2016-04-01,2,,
Coonabarabran,2016-04-01,12,293,868
Dubbo - East,2016-04-01,2,,
Dubbo - South,2016-04-01,22,676,2141
Dubbo - West,2016-04-01,9,331,945
Gilgandra,2016-04-01,5,113,319
Narromine,2016-04-01,3,63,196
Wellington,2016-04-01,2,,
Branxton - Greta - Pokolbin,2016-04-01,15,1085,3804
Cessnock,2016-04-01,8,241,631
Cessnock Region,2016-04-01,1,,
Singleton,2016-04-01,7,294,713
Maitland,2016-04-01,2,,
Maitland - East,2016-04-01,2,,
Maitland - West,2016-04-01,4,174,457
Nelson Bay Peninsula,2016-04-01,14,994,2936
Raymond Terrace,2016-04-01,4,178,577
Williamtown - Medowie - Karuah,2016-04-01,1,,
Muswellbrook,2016-04-01,7,227,786
Muswellbrook Region,2016-04-01,1,,
Scone,2016-04-01,5,117,341
Scone Region,2016-04-01,3,47,107
Gloucester,2016-04-01,2,,
Belmont - Bennetts Green,2016-04-01,1,,
Belmont South - Blacksmiths,2016-04-01,3,64,173
Charlestown - Dudley,2016-04-01,5,200,562
Glendale - Cardiff - Hillsborough,2016-04-01,2,,
Swansea - Caves Beach,2016-04-01,2,,
Warners Bay - Boolaroo,2016-04-01,2,,
Bonnells Bay - Silverwater,2016-04-01,1,,
Toronto - Awaba,2016-04-01,2,,
Adamstown - Kotara,2016-04-01,3,104,270
Beresfield - Hexham,2016-04-01,1,,
Hamilton - Broadmeadow,2016-04-01,3,81,242
Lambton - New Lambton,2016-04-01,2,,
Mayfield - Warabrook,2016-04-01,5,193,527
Merewether - The Junction,2016-04-01,1,,
Newcastle - Cooks Hill,2016-04-01,8,686,1838
Stockton - Fullerton Cove,2016-04-01,2,,
Wallsend - Elermore Vale,2016-04-01,1,,
Armidale,2016-04-01,17,446,1392
Armidale Region - North,2016-04-01,1,,
Armidale Region - South,2016-04-01,2,,
Walcha,2016-04-01,1,,
Glen Innes,2016-04-01,6,145,389
Inverell,2016-04-01,5,102,277
Tenterfield,2016-04-01,9,201,602
Moree,2016-04-01,11,,
Narrabri,2016-04-01,7,200,595
Narrabri Region,2016-04-01,1,,
Gunnedah,2016-04-01,6,160,409
Quirindi,2016-04-01,3,53,130
Tamworth - East,2016-04-01,12,443,1209
Tamworth - North,2016-04-01,14,447,1300
Bourke - Brewarrina,2016-04-01,3,74,241
Cobar,2016-04-01,5,,
Nyngan - Warren,2016-04-01,5,125,353
Walgett - Lightning Ridge,2016-04-01,5,,
Broken Hill,2016-04-01,12,318,823
Far West,2016-04-01,2,,
Avoca Beach - Copacabana,2016-04-01,2,,
Gosford - Springfield,2016-04-01,7,283,734
Kariong,2016-04-01,1,,
Terrigal - North Avoca,2016-04-01,5,343,1241
Umina - Booker Bay - Patonga,2016-04-01,2,,
Wamberal - Forresters Beach,2016-04-01,3,106,297
Woy Woy - Blackwall,2016-04-01,2,,
Wyoming,2016-04-01,1,,
Chittaway Bay - Tumbi Umbi,2016-04-01,1,,
Gorokan - Kanwal - Charmhaven,2016-04-01,2,,
The Entrance,2016-04-01,10,399,1004
Toukley - Norah Head,2016-04-01,2,,
Wyong,2016-04-01,2,,
Oberon,2016-04-01,4,167,438
Lithgow,2016-04-01,6,,
Lithgow Region,2016-04-01,2,,
Blackheath - Megalong Valley,2016-04-01,7,193,523
Katoomba - Leura,2016-04-01,17,878,2440
Springwood - Winmalee,2016-04-01,1,,
Grafton,2016-04-01,11,300,871
Grafton Region,2016-04-01,1,,
Maclean - Yamba - Iluka,2016-04-01,9,242,765
Coffs Harbour - North,2016-04-01,12,671,1701
Coffs Harbour - South,2016-04-01,14,449,1322
Dorrigo,2016-04-01,1,,
Korora - Emerald Beach,2016-04-01,4,150,565
Sawtell - Boambee,2016-04-01,2,,
Urunga,2016-04-01,1,,
Woolgoolga - Arrawarra,2016-04-01,5,,
Tea Gardens - Hawks Nest,2016-04-01,5,142,478
Bulahdelah - Stroud,2016-04-01,3,65,180
Forster,2016-04-01,10,271,774
Forster-Tuncurry Region,2016-04-01,1,,
Tuncurry,2016-04-01,3,66,217
Kempsey,2016-04-01,9,,
Kempsey Region,2016-04-01,1,,
Macksville - Scotts Head,2016-04-01,2,,
Nambucca Heads,2016-04-01,4,108,341
South West Rocks,2016-04-01,3,80,260
Lord Howe Island,2016-04-01,1,,
Laurieton - Bonny Hills,2016-04-01,2,,
Port Macquarie - East,2016-04-01,21,885,2845
Port Macquarie - West,2016-04-01,8,299,865
Wauchope,2016-04-01,1,,
Old Bar - Manning Point - Red Head,2016-04-01,3,116,488
Taree,2016-04-01,14,298,812
Taree Region,2016-04-01,1,,
Wingham,2016-04-01,2,,
Ballina,2016-04-01,11,388,1068
Ballina Region,2016-04-01,2,,
Brunswick Heads - Ocean Shores,2016-04-01,2,,
Byron Bay,2016-04-01,16,556,1499
Evans Head,2016-04-01,2,,
Lennox Head - Skennars Head,2016-04-01,1,,
Casino,2016-04-01,4,86,231
Lismore,2016-04-01,9,260,733
Kingscliff - Fingal Head,2016-04-01,5,618,1366
Murwillumbah,2016-04-01,2,,
Pottsville,2016-04-01,5,171,587
Tweed Heads,2016-04-01,7,465,1878
Tweed Heads - South,2016-04-01,5,107,335
St Helens - Scamander,2015-07-01,7,255,942
Triabunna - Bicheno,2015-07-01,11,335,1081
Acton - Upper Burnie,2015-07-01,1,,
Burnie - Wivenhoe,2015-07-01,4,148,391
Somerset,2015-07-01,2,,
Ulverstone,2015-07-01,3,69,166
Wynyard,2015-07-01,2,,
Devonport,2015-07-01,4,102,291
East Devonport,2015-07-01,2,,
Latrobe,2015-07-01,1,,
King Island,2015-07-01,1,,
North West,2015-07-01,2,,
Smithton,2015-07-01,2,,
Sheffield - Railton,2015-07-01,5,237,715
West Coast (Tas.),2015-07-01,9,436,1141
Brighton - Pontville,2015-07-01,1,,
Cambridge,2015-07-01,2,,
Lindisfarne - Rose Bay,2015-07-01,1,,
Claremont (Tas.),2015-07-01,1,,
Derwent Park - Lutana,2015-07-01,4,111,282
Montrose - Rosetta,2015-07-01,1,,
New Norfolk,2015-07-01,1,,
Hobart,2015-07-01,28,1907,4816
New Town,2015-07-01,2,,
Sandy Bay,2015-07-01,7,378,1088
West Hobart,2015-07-01,2,,
Forestier - Tasman,2015-07-01,4,152,454
Central Highlands,2015-07-01,3,,
Kings Meadows - Punchbowl,2015-07-01,2,,
Launceston,2015-07-01,22,1124,2849
Newnham - Mayfield,2015-07-01,1,,
Prospect Vale - Blackstone,2015-07-01,2,,
Riverside,2015-07-01,2,,
South Launceston,2015-07-01,1,,
Summerhill - Prospect,2015-07-01,1,,
Deloraine,2015-07-01,1,,
Grindelwald - Lanena,2015-07-01,1,,
George Town,2015-07-01,3,,
Scottsdale - Bridport,2015-07-01,2,,
St Helens - Scamander,2015-10-01,7,255,944
Triabunna - Bicheno,2015-10-01,11,335,1081
Acton - Upper Burnie,2015-10-01,1,,
Burnie - Wivenhoe,2015-10-01,4,148,391
Somerset,2015-10-01,2,,
Ulverstone,2015-10-01,3,69,166
Wynyard,2015-10-01,2,,
Devonport,2015-10-01,4,102,291
East Devonport,2015-10-01,2,,
Latrobe,2015-10-01,1,,
King Island,2015-10-01,1,,
North West,2015-10-01,2,,
Smithton,2015-10-01,2,,
Sheffield - Railton,2015-10-01,5,236,711
West Coast (Tas.),2015-10-01,9,436,1141
Brighton - Pontville,2015-10-01,1,,
Cambridge,2015-10-01,2,,
Lindisfarne - Rose Bay,2015-10-01,1,,
Claremont (Tas.),2015-10-01,1,,
Derwent Park - Lutana,2015-10-01,4,111,282
Montrose - Rosetta,2015-10-01,1,,
New Norfolk,2015-10-01,1,,
Hobart,2015-10-01,28,1907,4821
New Town,2015-10-01,2,,
Sandy Bay,2015-10-01,7,378,1088
West Hobart,2015-10-01,2,,
Forestier - Tasman,2015-10-01,4,152,454
Central Highlands,2015-10-01,3,,
Kings Meadows - Punchbowl,2015-10-01,2,,
Launceston,2015-10-01,22,1125,2857
Newnham - Mayfield,2015-10-01,1,,
Prospect Vale - Blackstone,2015-10-01,2,,
Riverside,2015-10-01,2,,
South Launceston,2015-10-01,1,,
Summerhill - Prospect,2015-10-01,1,,
Deloraine,2015-10-01,1,,
Grindelwald - Lanena,2015-10-01,1,,
George Town,2015-10-01,3,,
Scottsdale - Bridport,2015-10-01,2,,
St Helens - Scamander,2016-01-01,7,252,932
Triabunna - Bicheno,2016-01-01,11,336,1086
Acton - Upper Burnie,2016-01-01,1,,
Burnie - Wivenhoe,2016-01-01,4,148,393
Somerset,2016-01-01,2,,
Ulverstone,2016-01-01,3,69,166
Wynyard,2016-01-01,2,,
Devonport,2016-01-01,4,102,291
East Devonport,2016-01-01,2,,
Latrobe,2016-01-01,1,,
King Island,2016-01-01,1,,
North West,2016-01-01,2,,
Smithton,2016-01-01,2,,
Sheffield - Railton,2016-01-01,5,232,695
West Coast (Tas.),2016-01-01,9,436,1141
Brighton - Pontville,2016-01-01,1,,
Cambridge,2016-01-01,2,,
Lindisfarne - Rose Bay,2016-01-01,1,,
Claremont (Tas.),2016-01-01,1,,
Derwent Park - Lutana,2016-01-01,4,111,282
Montrose - Rosetta,2016-01-01,1,,
New Norfolk,2016-01-01,1,,
Hobart,2016-01-01,28,1907,4818
New Town,2016-01-01,2,,
Sandy Bay,2016-01-01,7,379,1096
West Hobart,2016-01-01,2,,
Forestier - Tasman,2016-01-01,4,152,454
Central Highlands,2016-01-01,3,,
Kings Meadows - Punchbowl,2016-01-01,2,,
Launceston,2016-01-01,22,1126,2863
Newnham - Mayfield,2016-01-01,1,,
Prospect Vale - Blackstone,2016-01-01,2,,
Riverside,2016-01-01,2,,
South Launceston,2016-01-01,1,,
Summerhill - Prospect,2016-01-01,1,,
Deloraine,2016-01-01,1,,
Grindelwald - Lanena,2016-01-01,1,,
George Town,2016-01-01,3,,
Scottsdale - Bridport,2016-01-01,2,,
St Helens - Scamander,2016-04-01,7,246,909
Triabunna - Bicheno,2016-04-01,11,333,1073
Acton - Upper Burnie,2016-04-01,1,,
Burnie - Wivenhoe,2016-04-01,4,148,393
Somerset,2016-04-01,2,,
Ulverstone,2016-04-01,3,69,166
Wynyard,2016-04-01,2,,
Devonport,2016-04-01,4,102,291
East Devonport,2016-04-01,2,,
Latrobe,2016-04-01,1,,
King Island,2016-04-01,1,,
North West,2016-04-01,2,,
Smithton,2016-04-01,2,,
Sheffield - Railton,2016-04-01,5,231,693
West Coast (Tas.),2016-04-01,9,436,1141
Brighton - Pontville,2016-04-01,1,,
Cambridge,2016-04-01,2,,
Lindisfarne - Rose Bay,2016-04-01,1,,
Claremont (Tas.),2016-04-01,1,,
Derwent Park - Lutana,2016-04-01,4,111,282
Montrose - Rosetta,2016-04-01,1,,
New Norfolk,2016-04-01,1,,
Hobart,2016-04-01,28,1917,4839
New Town,2016-04-01,2,,
Sandy Bay,2016-04-01,7,379,1096
West Hobart,2016-04-01,2,,
Forestier - Tasman,2016-04-01,4,144,431
Central Highlands,2016-04-01,3,,
Kings Meadows - Punchbowl,2016-04-01,2,,
Launceston,2016-04-01,22,1126,2863
Newnham - Mayfield,2016-04-01,1,,
Prospect Vale - Blackstone,2016-04-01,2,,
Riverside,2016-04-01,2,,
South Launceston,2016-04-01,1,,
Summerhill - Prospect,2016-04-01,1,,
Deloraine,2016-04-01,1,,
Grindelwald - Lanena,2016-04-01,1,,
George Town,2016-04-01,3,,
Scottsdale - Bridport,2016-04-01,2,,
Belconnen,2015-07-01,1,,
Hawker,2015-07-01,1,,
ACT - East,2015-07-01,1,,
Majura,2015-07-01,0,,
Gungahlin,2015-07-01,1,,
Nicholls,2015-07-01,1,,
Acton,2015-07-01,2,,
Ainslie,2015-07-01,1,,
Braddon,2015-07-01,7,1021,2594
Civic,2015-07-01,8,1135,2256
Dickson,2015-07-01,4,433,1088
Lyneham,2015-07-01,2,,
O'Connor (ACT),2015-07-01,1,,
Watson,2015-07-01,3,244,722
Forrest,2015-07-01,2,,
Griffith (ACT),2015-07-01,5,394,1190
Kingston - Barton,2015-07-01,7,667,1591
Narrabundah,2015-07-01,3,,
Yarralumla,2015-07-01,1,,
Greenway,2015-07-01,2,,
Curtin,2015-07-01,1,,
Phillip,2015-07-01,2,,
Belconnen,2015-10-01,1,,
Hawker,2015-10-01,1,,
ACT - East,2015-10-01,1,,
Majura,2015-10-01,1,,
Gungahlin,2015-10-01,1,,
Nicholls,2015-10-01,1,,
Acton,2015-10-01,2,,
Ainslie,2015-10-01,1,,
Braddon,2015-10-01,7,1021,2594
Civic,2015-10-01,8,1134,2258
Dickson,2015-10-01,4,433,1088
Lyneham,2015-10-01,2,,
O'Connor (ACT),2015-10-01,1,,
Watson,2015-10-01,3,244,722
Forrest,2015-10-01,2,,
Griffith (ACT),2015-10-01,5,394,1190
Kingston - Barton,2015-10-01,7,667,1591
Narrabundah,2015-10-01,3,366,1193
Yarralumla,2015-10-01,1,,
Greenway,2015-10-01,2,,
Curtin,2015-10-01,1,,
Phillip,2015-10-01,2,,
Belconnen,2016-01-01,1,,
Hawker,2016-01-01,1,,
ACT - East,2016-01-01,1,,
Majura,2016-01-01,1,,
Gungahlin,2016-01-01,1,,
Nicholls,2016-01-01,1,,
Acton,2016-01-01,2,,
Ainslie,2016-01-01,1,,
Braddon,2016-01-01,7,1021,2594
Civic,2016-01-01,8,1135,2260
Dickson,2016-01-01,4,433,1088
Lyneham,2016-01-01,2,,
O'Connor (ACT),2016-01-01,1,,
Watson,2016-01-01,3,244,722
Forrest,2016-01-01,2,,
Griffith (ACT),2016-01-01,5,394,1190
Kingston - Barton,2016-01-01,6,638,1519
Narrabundah,2016-01-01,3,365,1189
Yarralumla,2016-01-01,1,,
Greenway,2016-01-01,2,,
Curtin,2016-01-01,1,,
Phillip,2016-01-01,2,,
Belconnen,2016-04-01,1,,
Hawker,2016-04-01,1,,
ACT - East,2016-04-01,1,,
Majura,2016-04-01,1,,
Gungahlin,2016-04-01,1,,
Nicholls,2016-04-01,1,,
Acton,2016-04-01,2,,
Ainslie,2016-04-01,1,,
Braddon,2016-04-01,7,1021,2594
Civic,2016-04-01,8,1135,2260
Dickson,2016-04-01,4,433,1088
Lyneham,2016-04-01,2,,
O'Connor (ACT),2016-04-01,1,,
Watson,2016-04-01,3,244,722
Forrest,2016-04-01,2,,
Griffith (ACT),2016-04-01,5,394,1190
Kingston - Barton,2016-04-01,6,638,1505
Narrabundah,2016-04-01,3,365,1189
Yarralumla,2016-04-01,1,,
Greenway,2016-04-01,2,,
Curtin,2016-04-01,1,,
Phillip,2016-04-01,2,,
Brunswick,2015-07-01,4,160,423
Thornbury,2015-07-01,1,,
Essendon - Aberfeldie,2015-07-01,4,171,431
Flemington,2015-07-01,1,,
Moonee Ponds,2015-07-01,1,,
Carlton,2015-07-01,8,698,1551
Docklands,2015-07-01,7,1183,3091
East Melbourne,2015-07-01,16,1498,3380
Melbourne,2015-07-01,88,12874,30181
North Melbourne,2015-07-01,6,235,548
Parkville,2015-07-01,4,267,729
South Yarra - West,2015-07-01,1,,
Southbank,2015-07-01,13,3267,8065
Albert Park,2015-07-01,8,1518,3166
South Melbourne,2015-07-01,3,,
St Kilda,2015-07-01,14,826,1816
Prahran - Windsor,2015-07-01,1,,
South Yarra - East,2015-07-01,12,757,1791
Toorak,2015-07-01,1,,
Abbotsford,2015-07-01,2,,
Carlton North - Princes Hill,2015-07-01,1,,
Fitzroy,2015-07-01,3,141,428
Richmond (Vic.),2015-07-01,3,246,499
Yarra - North,2015-07-01,1,,
Hawthorn,2015-07-01,1,,
Hawthorn East,2015-07-01,1,,
Kew,2015-07-01,4,247,597
Doncaster,2015-07-01,1,,
Doncaster East,2015-07-01,1,,
Blackburn,2015-07-01,1,,
Box Hill,2015-07-01,1,,
Burwood,2015-07-01,2,,
Burwood East,2015-07-01,1,,
Surrey Hills (East) - Mont Albert,2015-07-01,2,,
Beaumaris,2015-07-01,1,,
Brighton (Vic.),2015-07-01,3,157,344
Carnegie,2015-07-01,1,,
Caulfield - North,2015-07-01,1,,
Hughesdale,2015-07-01,3,85,206
Braeside,2015-07-01,1,,
Cheltenham - Highett (East),2015-07-01,2,,
Mentone,2015-07-01,1,,
Moorabbin - Heatherton,2015-07-01,2,,
Ivanhoe,2015-07-01,1,,
