tr_code_2015,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
3R120,2015-10-01,237125,344246,68.9,461658,1019377,45.3,34390393,145.03,99.9
3R140,2015-10-01,15169,34379,44.1,23262,95759,24.3,1937757,127.75,56.36
3R160,2015-10-01,34271,41850,81.9,81012,123659,65.5,11959768,348.98,285.78
3R010,2015-11-01,311439,420516,74.1,711217,1286036,55.3,50702378,162.8,120.57
3R020,2015-11-01,355995,475088,74.9,541585,1279109,42.3,63044129,177.09,132.7
3R030,2015-11-01,111440,183759,60.6,248797,629845,39.5,21209227,190.32,115.42
3R040,2015-11-01,21902,44550,49.2,41464,153168,27.1,2569235,117.31,57.67
3R060,2015-11-01,47643,100170,47.6,66486,278310,23.9,6194924,130.03,61.84
3R070,2015-11-01,13115,25710,51,19980,78840,25.3,1786732,136.24,69.5
3R080,2015-11-01,66178,144720,45.7,98743,393030,25.1,9584938,144.84,66.23
3R090,2015-11-01,32987,82350,40.1,45065,215533,20.9,4320434,130.97,52.46
3R100,2015-11-01,48370,69600,69.5,111716,224430,49.8,12884832,266.38,185.13
3R110,2015-11-01,49346,93222,52.9,78270,253464,30.9,6111641,123.85,65.56
3R120,2015-11-01,209115,332222,62.9,386580,984317,39.3,27141263,129.79,81.7
3R140,2015-11-01,12363,32460,38.1,16649,90120,18.5,1532928,124,47.23
3R160,2015-11-01,31736,40500,78.4,72874,119670,60.9,10698521,337.11,264.16
3R010,2015-12-01,326479,436304,74.8,797523,1333042,59.8,67802525,207.68,155.4
3R020,2015-12-01,321219,490313,65.5,555673,1320454,42.1,53900266,167.8,109.93
3R030,2015-12-01,131360,189968,69.1,341725,651031,52.5,29907600,227.68,157.43
3R040,2015-12-01,28305,46995,60.2,64434,162156,39.7,4457329,157.47,94.85
3R060,2015-12-01,37373,103509,36.1,57788,287587,20.1,5042265,134.92,48.71
3R070,2015-12-01,13721,26567,51.6,25125,81468,30.8,2022054,147.37,76.11
3R080,2015-12-01,59393,149544,39.7,99445,406131,24.5,9042589,152.25,60.47
3R090,2015-12-01,30150,85095,35.4,45848,222717,20.6,3915974,129.88,46.02
3R100,2015-12-01,49643,71920,69,126212,231911,54.4,15758520,317.44,219.11
3R110,2015-12-01,47774,96979,49.3,85725,263858,32.5,5859128,122.64,60.42
3R120,2015-12-01,197322,344780,57.2,403825,1024786,39.4,27971873,141.76,81.13
3R140,2015-12-01,10203,33542,30.4,15370,93124,16.5,1210659,118.65,36.09
3R160,2015-12-01,32824,41850,78.4,85043,123659,68.8,13260728,403.99,316.86
3R010,2016-01-01,354556,431311,82.2,868210,1320603,65.7,74883350,211.2,173.62
3R020,2016-01-01,290200,489009,59.3,502858,1309596,38.4,43536738,150.02,89.03
3R030,2016-01-01,139069,189813,73.3,364194,650256,56,31153256,224.01,164.13
3R040,2016-01-01,25201,45842,55,63865,157766,40.5,3427266,136,74.76
3R060,2016-01-01,37369,103323,36.2,56675,286595,19.8,4874682,130.45,47.18
3R070,2016-01-01,13630,26629,51.2,24721,81561,30.3,1885500,138.33,70.81
3R080,2016-01-01,52117,144429,36.1,88691,398288,22.3,7610435,146.03,52.69
3R090,2016-01-01,26835,84475,31.8,40832,220502,18.5,3466523,129.18,41.04
3R100,2016-01-01,52776,71393,73.9,136531,230082,59.3,16253831,307.98,227.67
3R110,2016-01-01,41541,96639,43,73833,262483,28.1,4926519,118.59,50.98
3R120,2016-01-01,193913,343147,56.5,403135,1018956,39.6,27031843,139.4,78.78
3R140,2016-01-01,9183,33480,27.4,14414,93031,15.5,1108377,120.7,33.11
3R160,2016-01-01,32852,41726,78.7,87566,122326,71.6,13298162,404.79,318.7
3R010,2016-02-01,297507,403324,73.8,645430,1234470,52.3,48052776,161.52,119.14
3R020,2016-02-01,320705,461900,69.4,488406,1233879,39.6,52353454,163.25,113.34
3R030,2016-02-01,96606,176958,54.6,205228,606255,33.9,17143679,177.46,96.88
3R040,2016-02-01,20204,43231,46.7,38504,148907,25.9,2337856,115.71,54.08
3R060,2016-02-01,44149,96177,45.9,61686,266862,23.1,5800378,131.38,60.31
3R070,2016-02-01,14259,24819,57.5,21651,76061,28.5,1845386,129.42,74.35
3R080,2016-02-01,54427,134829,40.4,77750,371815,20.9,7582073,139.31,56.23
3R090,2016-02-01,28971,78607,36.9,38873,205240,18.9,3657453,126.24,46.53
3R100,2016-02-01,41301,66743,61.9,93599,215107,43.5,11312852,273.91,169.5
3R110,2016-02-01,43164,90094,47.9,66105,245188,27,4830807,111.92,53.62
3R120,2016-02-01,182343,321724,56.7,339673,956154,35.5,24147035,132.43,75.06
3R140,2016-02-01,10400,31186,33.3,14160,86625,16.3,1228103,118.09,39.38
3R160,2016-02-01,26015,38570,67.4,59556,113506,52.5,8973483,344.93,232.65
3R010,2016-03-01,307947,433390,71.1,681509,1325447,51.4,51441285,167.05,118.7
3R020,2016-03-01,338721,505115,67.1,519930,1335391,38.9,55532157,163.95,109.94
3R030,2016-03-01,111878,189813,58.9,253557,650256,39,21231425,189.77,111.85
3R040,2016-03-01,24170,47522,50.9,50146,163898,30.6,3083903,127.59,64.89
3R060,2016-03-01,48029,103303,46.5,70118,286555,24.5,6304094,131.26,61.03
3R070,2016-03-01,14722,26629,55.3,22822,81561,28,1938547,131.67,72.8
3R080,2016-03-01,58806,145359,40.5,90988,401078,22.7,8018380,136.35,55.16
3R090,2016-03-01,31777,84475,37.6,45490,220502,20.6,4113312,129.44,48.69
3R100,2016-03-01,47275,71393,66.2,102694,230082,44.6,13796977,291.84,193.25
3R110,2016-03-01,46791,96695,48.4,75795,263029,28.8,5616488,120.03,58.08
3R120,2016-03-01,200313,345333,58,378536,1027904,36.8,26213856,130.86,75.91
3R140,2016-03-01,12157,34317,35.4,18089,95666,18.9,1489869,122.55,43.41
3R160,2016-03-01,30680,41726,73.5,71904,122326,58.8,11575674,377.3,277.42
3R010,2016-04-01,292049,417756,69.9,678068,1279466,53,48370547,165.62,115.79
3R020,2016-04-01,324778,488712,66.5,512036,1291309,39.7,52349599,161.19,107.12
3R030,2016-04-01,113407,183600,61.8,264794,627810,42.2,22097950,194.86,120.36
3R040,2016-04-01,23851,44670,53.4,48843,153558,31.8,2840979,119.11,63.6
3R060,2016-04-01,49857,99410,50.2,73935,277330,26.7,6600621,132.39,66.4
3R070,2016-04-01,15111,25770,58.6,23453,78810,29.8,1941936,128.51,75.36
3R080,2016-04-01,58054,141480,41,87722,389820,22.5,8101198,139.55,57.26
3R090,2016-04-01,33243,80580,41.3,46928,209955,22.4,4252696,127.93,52.78
3R100,2016-04-01,47204,69180,68.2,115586,223080,51.8,13264836,281.01,191.74
3R110,2016-04-01,52013,92862,56,85796,252324,34,6421983,123.47,69.16
3R120,2016-04-01,195179,332562,58.7,374558,987410,37.9,25521139,130.76,76.74
3R140,2016-04-01,14660,33780,43.4,21913,93720,23.4,1809408,123.43,53.56
3R160,2016-04-01,30699,40350,76.1,78840,118410,66.6,11105088,361.74,275.22
3R010,2016-05-01,275088,431373,63.8,587105,1321409,44.4,42727866,155.32,99.05
3R020,2016-05-01,340970,503943,67.7,516523,1331285,38.8,57367593,168.25,113.84
3R030,2016-05-01,93712,189720,49.4,192839,648737,29.7,15802369,168.63,83.29
3R040,2016-05-01,19941,45935,43.4,36733,157859,23.3,2221666,111.41,48.37
3R060,2016-05-01,52408,102703,51,73610,286533,25.7,6844059,130.59,66.64
3R070,2016-05-01,15328,26629,57.6,22463,81437,27.6,1988577,129.73,74.68
3R080,2016-05-01,61282,146196,41.9,89125,402814,22.1,8193536,133.7,56.04
3R090,2016-05-01,36352,83266,43.7,50317,216953,23.2,4689048,128.99,56.31
3R100,2016-05-01,42777,71486,59.8,93275,230516,40.5,11215721,262.19,156.89
3R110,2016-05-01,57408,95767,59.9,90232,260214,34.7,7352873,128.08,76.78
3R120,2016-05-01,198472,343843,57.7,369882,1019577,36.3,27181856,136.96,79.05
3R140,2016-05-01,17784,34906,50.9,26687,96844,27.6,2252568,126.66,64.53
3R160,2016-05-01,27516,41695,66,61698,122357,50.4,9291652,337.68,222.85
3R010,2016-06-01,257520,419835,61.3,566933,1284310,44.1,40237463,156.25,95.84
3R020,2016-06-01,336514,490460,68.6,519034,1297227,40,57447963,170.71,117.13
3R030,2016-06-01,92574,183600,50.4,199614,627810,31.8,16257432,175.62,88.55
3R040,2016-06-01,22327,46350,48.2,43646,159690,27.3,2659761,119.13,57.38
3R060,2016-06-01,50170,99150,50.6,74898,276600,27.1,6498555,129.53,65.54
3R070,2016-06-01,14645,25770,56.8,22044,78810,28,1888995,128.99,73.3
3R080,2016-06-01,61427,141480,43.4,90719,389820,23.3,8178339,133.14,57.81
3R090,2016-06-01,31317,80580,38.9,43531,209955,20.7,3885388,124.07,48.22
3R100,2016-06-01,42136,69180,60.9,96050,223080,43.1,10741847,254.93,155.27
3R110,2016-06-01,58224,94290,61.7,94296,256230,36.8,7309853,125.55,77.53
3R120,2016-06-01,236914,339006,69.9,471273,1008782,46.7,35657011,150.51,105.18
3R140,2016-06-01,18517,33780,54.8,28445,93720,30.4,2391842,129.17,70.81
3R160,2016-06-01,25378,40350,62.9,59661,118410,50.4,8590641,338.51,212.9
