lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
17150,Sutherland Shire (A),20268,2426,2140,1790,1286,430,301,2738,894,3545,3005,14385,4854,20004,5065,2231,2214,857,1269,498
17200,Sydney (C),788134,434476,269637,314341,200217,153757,194940,87893,379365,1607626,229901,1016247,209360,883019,357699,180161,214899,119542,79751,99224
17310,Tamworth Regional (A),8131,407,636,885,900,547,923,277,2529,998,1076,5635,1083,5470,3009,968,2558,978,1337,1811
17350,Temora (A),299,0,0,0,349,0,0,0,0,0,0,535,320,501,50,0,0,0,0,0
17400,Tenterfield (A),1692,92,103,0,0,0,355,143,0,0,0,825,517,1031,1087,608,196,129,588,282
17420,The Hills Shire (A),15652,911,2340,2296,2020,2046,733,1185,5458,7588,10584,10813,2302,10639,1647,1320,777,1071,469,374
17550,Tweed (A),27136,2647,859,1822,1675,728,0,670,0,2409,483,6653,4328,8454,5841,1304,2217,816,1709,856
17620,Upper Hunter Shire (A),2780,0,200,0,110,633,760,0,241,155,6,1078,638,1978,623,231,0,222,265,0
17640,Upper Lachlan Shire (A),1572,73,0,76,63,0,0,0,0,0,0,204,410,444,472,70,100,0,20,0
17650,Uralla (A),626,0,104,0,104,13,22,0,28,402,0,389,0,732,309,0,111,0,0,0
17750,Wagga Wagga (C),6864,916,659,824,1113,694,919,732,306,983,1599,4344,2764,7372,2456,1021,1270,536,955,608
17850,Walcha (A),688,247,0,56,0,0,0,0,18,133,0,657,0,1014,1469,0,269,105,227,138
17900,Walgett (A),1337,0,0,176,0,0,0,118,148,0,0,1511,604,1036,628,341,180,0,124,9
17950,Warren (A),0,0,0,0,0,47,0,0,0,0,0,145,67,243,449,263,70,0,0,0
18020,Warrumbungle Shire (A),1315,0,90,0,0,0,248,0,0,55,78,1417,528,2142,389,604,145,0,311,142
18050,Waverley (A),26320,6848,6459,6311,1750,1815,831,1166,5617,5108,767,29581,12443,60980,12873,13199,11778,7505,5447,4550
18100,Weddin (A),0,0,0,0,0,0,0,0,0,0,0,478,0,261,45,0,0,40,0,32
18200,Wentworth (A),593,0,356,252,204,0,0,0,127,158,394,240,96,905,67,316,311,0,0,287
18230,Western Plains Regional (A),6816,211,532,1750,664,764,459,735,575,1541,331,3544,1897,5168,3091,1413,1020,638,741,114
18250,Willoughby (C),13762,10942,10805,10337,6951,2552,3593,1172,18039,33423,6085,7570,1625,9818,1303,1023,1675,239,678,656
18350,Wingecarribee (A),5664,44,1521,984,1071,583,0,160,626,445,338,5799,1591,9286,2759,596,382,0,607,287
18400,Wollondilly (A),2537,392,199,173,0,373,0,0,214,1277,0,1257,590,1792,328,651,329,0,27,59
18450,Wollongong (C),23014,7240,4236,4622,4419,3379,1619,4017,7534,28061,4185,20616,9264,23934,11278,5239,5965,2541,3077,1922
18500,Woollahra (A),15840,2327,2011,2176,551,296,344,607,332,4384,301,10759,2337,20785,5525,2261,6033,1504,1016,935
18710,Yass Valley (A),2219,0,715,0,0,40,0,44,0,0,585,1335,1242,2067,621,893,906,96,185,57
19399,Unincorporated NSW,9159,2524,2710,5247,1284,523,262,912,4941,7544,806,11397,4036,19011,3900,3865,4045,1538,1990,1730
20110,Alpine (S),3049,333,277,535,597,304,109,84,341,1058,1556,2351,883,6256,2098,366,576,0,761,1616
20260,Ararat (RC),1475,0,0,0,0,0,691,0,0,0,168,140,607,1310,226,420,353,40,86,348
20570,Ballarat (C),15492,1883,1890,4016,4013,1827,58,1427,1010,6064,3016,7292,3608,15150,5646,2640,2301,1155,1727,1826
20660,Banyule (C),15781,1007,3019,5533,9325,1460,1315,1180,409,15770,5666,6304,1923,8128,1548,1632,1566,947,770,805
20740,Bass Coast (S),11175,577,3917,13389,7504,789,828,945,386,16509,1896,11204,5663,23746,16585,4972,6035,3059,4536,5131
20830,Baw Baw (S),3982,355,519,556,64,430,368,193,348,347,1123,1595,636,4645,1507,670,524,109,1091,175
20910,Bayside (C),11045,1581,2124,1670,2132,1788,1375,678,169,5528,1946,5041,1228,18917,3391,1711,3052,339,496,168
21010,Benalla (RC),1003,0,0,0,451,0,0,0,93,502,105,570,464,2110,613,449,462,0,270,27
21110,Boroondara (C),25885,1757,4251,9131,16474,2744,2418,4766,2302,36225,9630,9982,2283,15601,4442,1405,1491,2495,556,973
21180,Brimbank (C),13437,268,2248,1670,2403,981,946,1124,358,4502,7924,5561,1514,4230,1010,124,519,380,338,156
21270,Buloke (S),289,0,0,0,0,0,163,0,0,591,0,110,0,0,214,0,179,28,87,47
21370,Campaspe (S),7722,136,364,415,388,483,552,221,464,430,119,2850,1195,8623,2213,998,1352,403,702,1061
21450,Cardinia (S),8274,260,1160,534,508,149,882,867,205,209,1933,2729,1022,5820,806,641,757,125,336,175
21610,Casey (C),26978,326,642,2697,4708,875,772,1927,320,4706,14555,7474,797,10767,1548,601,1755,1254,1388,104
21670,Central Goldfields (S),1040,0,896,545,262,0,0,0,156,113,470,1502,87,1284,168,0,92,0,150,521
21750,Colac-Otway (S),13772,797,2389,12699,8927,937,1906,1939,589,26549,3389,19949,8464,45171,28456,8515,11086,6497,9923,9068
21830,Corangamite (S),8123,1502,2894,9239,4694,0,500,1545,943,20546,2239,10557,2785,18737,18043,2538,7456,3832,3081,5308
21890,Darebin (C),18105,2217,2633,4039,4850,1620,2043,2075,1205,11313,9825,7396,1889,10363,4031,1323,1458,1697,1172,454
22110,East Gippsland (S),8101,1290,2030,3451,3153,713,140,290,201,8543,2174,10733,5185,24214,21206,3257,7912,1121,5326,6906
22170,Frankston (C),17523,1134,695,628,2737,667,135,1811,1289,5087,844,4571,1068,15254,2813,1111,703,543,771,0
22250,Gannawarra (S),0,59,0,0,0,0,0,0,0,0,0,343,61,803,109,132,0,0,26,49
22310,Glen Eira (C),15493,1943,3833,4446,6049,3602,757,2278,2651,22953,8315,4357,2439,11551,2597,650,1874,1588,272,1499
22410,Glenelg (S),5090,206,852,351,441,115,0,259,0,1749,666,3019,1855,6568,6821,1639,3011,2288,1625,1635
22490,Golden Plains (S),784,0,0,126,93,0,0,0,0,0,0,535,0,524,0,0,0,0,206,0
22620,Greater Bendigo (C),12989,617,306,125,2014,512,273,348,232,2509,2022,6717,1195,9307,2619,1566,1385,479,1282,313
22670,Greater Dandenong (C),18863,1745,3320,2307,8420,3038,1939,2067,2608,10377,8274,4852,2112,4378,893,795,540,515,511,86
22750,Greater Geelong (C),25120,2014,2867,5487,9139,3514,1887,2409,1335,24903,4676,14163,4595,26639,9219,3134,4802,2481,4933,4094
22830,Greater Shepparton (C),12608,911,1092,472,2089,789,2668,401,450,667,408,1845,601,4845,3190,1024,3743,1368,543,166
22910,Hepburn (S),2721,453,749,1267,772,97,0,75,0,2755,420,1919,576,3837,673,0,1323,191,120,173
22980,Hindmarsh (S),539,332,0,0,476,0,0,0,0,662,0,1154,0,873,154,84,0,0,71,187
23110,Hobsons Bay (C),20007,1169,650,1690,2813,1866,318,1017,387,2543,3605,5262,978,8730,2240,1316,662,1656,932,376
23190,Horsham (RC),1760,0,0,0,50,96,0,0,0,1092,700,2175,565,2446,1914,1267,1010,0,508,1213
23270,Hume (C),78257,4268,5996,7737,9532,1535,1792,3895,1601,25377,15529,27087,6000,25489,6851,4426,4808,3373,3834,2486
23350,Indigo (S),2713,0,136,208,246,0,301,621,0,0,0,1382,750,2520,974,668,431,0,142,93
23430,Kingston (C) (Vic.),16155,1910,2125,1859,3009,1711,371,1507,863,4935,5888,3183,1869,14827,1529,1265,1110,1955,673,547
23670,Knox (C),13091,980,2479,3752,10034,1305,259,1185,2068,3928,3127,4797,1130,8753,2471,471,1665,148,534,381
23810,Latrobe (C) (Vic.),7075,502,344,22,183,0,0,1115,209,645,545,856,354,3569,550,0,331,188,1020,0
23940,Loddon (S),0,0,0,0,0,0,0,0,0,204,0,0,0,524,148,0,121,0,59,0
24130,Macedon Ranges (S),4186,396,56,307,427,0,0,384,63,1029,262,2179,589,6216,880,22,670,0,182,184
24210,Manningham (C),7273,846,7014,7734,13381,1051,1437,408,1654,21943,1776,3465,1323,5425,1616,1630,568,700,165,13
24250,Mansfield (S),1377,415,0,1019,511,135,152,236,210,200,110,888,409,1438,250,519,420,82,236,0
24330,Maribyrnong (C),13482,1297,1646,2652,3517,722,1705,1216,495,8806,3622,5433,1604,8328,2329,593,1456,1359,744,230
