State,StateName,lga_code_2016,lga_name_2016,Non-employing,1 to 4 employees,5 to 19 employees,20 or more employees,Total
4,SA,44550,Mount Barker (DC),129,111,61,21,327
4,SA,44620,Mount Gambier (C),99,125,88,26,338
4,SA,45040,Murray Bridge (RC),73,59,41,12,181
4,SA,46090,Port Augusta (C),40,30,41,6,120
4,SA,46300,Port Lincoln (C),58,65,61,13,189
4,SA,46450,Port Pirie City and Dists (M),51,59,32,4,149
4,SA,46670,Renmark Paringa (DC),40,43,21,10,114
4,SA,46860,Robe (DC),12,19,11,3,47
4,SA,48050,Victor Harbor (C),64,48,34,9,156
4,SA,48340,Wattle Range (DC),27,43,32,3,109
4,SA,48540,Whyalla (C),49,50,32,9,141
4,SA,48750,Yankalilla (DC),21,18,8,0,55
4,SA,48830,Yorke Peninsula (DC),62,62,34,4,160
5,WA,50080,Albany (C),139,141,128,32,433
5,WA,50250,Ashburton (S),9,10,10,4,34
5,WA,50280,Augusta-Margaret River (S),128,103,70,19,316
5,WA,50980,Broome (S),94,63,71,27,258
5,WA,51190,Bunbury (C),142,129,140,47,457
5,WA,51260,Busselton (C),174,155,115,41,494
5,WA,51540,Carnarvon (S),27,35,28,3,90
5,WA,52590,Dandaragan (S),16,21,12,6,51
5,WA,52730,Denmark (S),30,32,25,7,104
5,WA,52800,Derby-West Kimberley (S),19,29,11,6,66
5,WA,53080,Dundas (S),0,6,3,0,10
5,WA,53220,East Pilbara (S),7,14,9,3,36
5,WA,53290,Esperance (S),66,66,49,7,192
5,WA,53360,Exmouth (S),26,15,19,6,66
5,WA,53570,Gingin (S),21,13,9,0,51
5,WA,53800,Greater Geraldton (C),131,106,116,36,383
5,WA,53920,Halls Creek (S),3,5,3,7,19
5,WA,53990,Harvey (S),67,50,35,7,161
5,WA,54060,Irwin (S),18,15,11,0,49
5,WA,54280,Kalgoorlie/Boulder (C),91,109,65,21,283
5,WA,54310,Karratha (C),45,31,47,12,128
5,WA,54620,Kondinin (S),4,3,4,3,13
5,WA,55110,Mandurah (C),219,195,159,47,626
5,WA,55180,Manjimup (S),49,46,51,11,144
5,WA,56230,Murray (S),66,41,34,8,150
5,WA,56790,Northampton (S),28,20,21,3,77
5,WA,57280,Port Hedland (T),33,15,28,5,78
5,WA,57770,Shark Bay (S),15,7,5,0,31
5,WA,59340,Wyndham-East Kimberley (S),43,30,31,11,114
6,TAS,60210,Break O'Day (M),34,42,17,3,99
6,TAS,60610,Burnie (C),51,61,74,8,194
6,TAS,60810,Central Coast (M) (Tas.),67,51,45,3,175
6,TAS,61010,Central Highlands (M) (Tas.),11,15,8,0,34
6,TAS,61210,Circular Head (M),33,43,23,6,100
6,TAS,61610,Devonport (C),93,102,82,14,286
6,TAS,61810,Dorset (M),40,36,15,4,98
6,TAS,62410,Glamorgan/Spring Bay (M),35,35,34,3,106
6,TAS,63010,Huon Valley (M),87,45,34,7,168
6,TAS,63210,Kentish (M),23,16,13,0,56
6,TAS,63610,Kingborough (M),146,89,55,8,300
6,TAS,64010,Launceston (C),319,300,217,61,892
6,TAS,64210,Meander Valley (M),72,57,43,3,180
6,TAS,64610,Northern Midlands (M),58,48,27,3,132
6,TAS,65210,Tasman (M),16,10,3,4,37
6,TAS,65410,Waratah/Wynyard (M),31,37,34,3,108
6,TAS,65610,West Coast (M),22,27,16,0,66
6,TAS,65810,West Tamar (M),60,52,33,7,156
7,NT,70200,Alice Springs (T),145,104,89,42,380
7,NT,70420,Barkly (R),11,24,14,0,48
7,NT,70700,Coomalie (S),9,5,3,0,16
7,NT,72200,Katherine (T),32,33,30,14,105
7,NT,74550,Victoria Daly (R),14,3,4,3,23
7,NT,74660,West Arnhem (R),9,0,3,8,15
