X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
152.95,-26.5168,mineral_deposits.3474,"335296",North Arm,,QLD,152.9499627053,-26.5168251127,"2000",N,"5",AUTO,O,Au,Gold,historic mine
143.364,-19.7,mineral_deposits.3475,"334939",Woolgar goldfield,,QLD,143.3639993657,-19.6999821486,"2000",N,"6",AUTO,O,Au,Gold,historic mine
131.5061,-13.4667,mineral_deposits.3476,"334291",Fountain Head,Burnside Project,NT,131.5061,-13.46668,"999",N,"5",AUTO,O,Au,Gold,historic mine
144.366,-37.247,mineral_deposits.3477,"333401",Lauriston Goldfield,"Taradale, Drummond North",VIC,144.3660130837,-37.2469902996,"2000",N,"6",AUTO,O,Au,Gold,historic mine
143.2833,-36.6136,mineral_deposits.3478,"336120",St Arnaud Goldfield,Saint Arnaud,VIC,143.2833109567,-36.6136076025,"2000",N,"6",AUTO,O,Au,Gold,historic mine
143.9045,-37.3192,mineral_deposits.3479,"335298",Berry,,VIC,143.904521578,-37.3192147484,"100",N,"6",AUTO,O,Au,Gold,historic mine
144.3166,-36.657,mineral_deposits.3480,"333600",Huntly,Telegraph,VIC,144.3166157662,-36.6569804074,"2000",N,"6",AUTO,O,Au,Gold,historic mine
143.5833,-37.797,mineral_deposits.3481,"335387",Pitfield,"Smythesdale, Glenfine",VIC,143.5833120639,-37.7970145415,"2000",N,"6",AUTO,O,Au,Gold,historic mine
140.9102,-21.5725,mineral_deposits.3482,"333601",Maramungee,,QLD,140.910177445,-21.5725430354,"500",N,"6",AUTO,O,Zn,Zinc,mineral deposit
141.8333,-13.3637,mineral_deposits.3483,"333703",Aurukun,,QLD,141.8332891006,-13.3637065809,"2000",Y,"2",AUTO,O,Bx,Bauxite,mineral deposit
146.8337,-34.2818,mineral_deposits.3484,"336029",Big Bygoo,"includes Drumlish Hill, Titanic, Lone Hand, Bulgarian, Empire",NSW,146.8337145845,-34.2817826208,"250",N,"6",AUTO,O,Sn,Tin,historic mine
151.2878,-31.9626,mineral_deposits.3485,"335023",Upper Hunter,"Bluey Reef, New Royal Standard, Fullers Reef, Martin Creek",NSW,151.2878062566,-31.962557064,"250",N,"6",AUTO,O,Au,Gold,historic mine
150.8561,-32.337,mineral_deposits.3486,"335720",Mount Arthur,"Mt Arthur North, Bayswater No3, Hunter Valley",NSW,150.8561443072,-32.3370219637,"2000",Y,"1",AUTO,O,Cbl,Coal - black,operating mine
140.0402,-20.9656,mineral_deposits.3487,"334485",Bobby Rod,,QLD,140.0401981785,-20.9655583511,"100",N,"6",AUTO,O,Cu,Copper,historic mine
140.4324,-21.2072,mineral_deposits.3488,"335480",Buka,,QLD,140.432358,-21.207247,"10",N,"5",AUTO,O,Mn,Manganese,mineral deposit
140.046,-19.822,mineral_deposits.3489,"334945",Crusader,"Crusader North, Crusader South, Crusader Endeavour, Young Crusader",QLD,140.0460144719,-19.8220280006,"2000",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.4442,-20.7366,mineral_deposits.3490,"334846",Dolomite,,QLD,140.4441845575,-20.7365540909,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
140.5052,-21.2785,mineral_deposits.3491,"335949",Hampden,"Hampden Consols, Hampden Queen, Block 37, Block 15",QLD,140.5051830466,-21.2785494777,"100",N,"6",AUTO,O,"Cu, Au","Copper, Gold",historic mine
139.4892,-20.4096,mineral_deposits.3492,"334564",Lady Agnes,,QLD,139.4891874033,-20.4095812948,"100",N,"6",AUTO,O,Cu,Copper,historic mine
140.5012,-21.6595,mineral_deposits.3493,"335856",Marilyn,,QLD,140.5011891468,-21.6595487446,"100",N,"6",AUTO,O,Cu,Copper,historic mine
139.9272,-20.1876,mineral_deposits.3494,"334659",Mount Metallic,,QLD,139.9271885774,-20.1875638657,"100",N,"6",AUTO,O,Cu,Copper,historic mine
139.8862,-20.5366,mineral_deposits.3495,"335205",Rocky Home,,QLD,139.8861946972,-20.5365623303,"100",N,"6",AUTO,O,Cu,Copper,historic mine
140.497,-21.545,mineral_deposits.3496,"335859",SWAN,,QLD,140.4970122731,-21.5450269956,"2000",N,"4",AUTO,O,"Cu, Au","Copper, Gold",mineral deposit
143.8479,-37.5501,mineral_deposits.3497,"334097",Ballarat West,,VIC,143.8479015282,-37.5500584147,"50",N,"6",AUTO,O,Au,Gold,historic mine
139.9322,-20.8686,mineral_deposits.3498,"335305",Inkerman,,QLD,139.9321987088,-20.8685602973,"100",N,"6",AUTO,O,Cu,Copper,historic mine
141.3444,-33.1306,mineral_deposits.3499,"333415",Massidon,,NSW,141.34436,-33.13064,"2000",Y,"3",AUTO,O,"Mnz, Zrn, Ilm, Rt, (Leu, Xen, Mnsd)","Monazite, Zircon, Ilmenite, Rutile, (Leucoxene, Xenotime, Mineral sands)",mineral deposit
121.5148,-31.8159,mineral_deposits.3500,"334304",Chalice,Higginsville Gold Operations,WA,121.5148,-31.8159,"500",N,"4",AUTO,O,Au,Gold,mineral deposit
121.6094,-30.5947,mineral_deposits.3501,"334003",Nemesis,Golden Feather,WA,121.6094423705,-30.594712819,"100",N,"5",AUTO,O,Au,Gold,mineral deposit
120.594,-26.374,mineral_deposits.3502,"333800",Nim 3,"Jundee Gold Project, Nimary Three",WA,120.594,-26.374,"500",N,"6",AUTO,O,Au,Gold,historic mine
119.4272,-27.2856,mineral_deposits.3503,"335587",Kingfisher,Gidgee Project,WA,119.4272,-27.2856,"500",N,"5",AUTO,O,Au,Gold,historic mine
120.2209,-33.5727,mineral_deposits.3549,"334219","Rav 1, 4, 5",,WA,120.2209070446,-33.5726553352,"100",N,"4",AUTO,O,"Ni, Co","Nickel, Cobalt",historic mine
118.2785,-27.0996,mineral_deposits.3550,"334973",Jack Ryan,Reedy's Project,WA,118.2785,-27.0996,"999",N,"5",AUTO,O,Au,Gold,operating mine
120.4742,-21.2368,mineral_deposits.3551,"334583",Meentheena,,WA,120.4741667632,-21.2367791329,"100",N,"6",AUTO,O,"Fl, F","Fluorite, Fluorine",mineral deposit
149.8761,-25.687,mineral_deposits.3552,"333723",Boxvale,Taroom,QLD,149.8760525575,-25.6870220597,"250",N,"6",AUTO,O,Cbl,Coal - black,mineral deposit
140.743,-20.7559,mineral_deposits.3553,"334107",Cloncurry,,QLD,140.7429780856,-20.7558500177,"100",N,"5",AUTO,O,Au,Gold,mineral deposit
152.6501,-27.6786,mineral_deposits.3554,"335915",Ebenezer,,QLD,152.650122562,-27.6786391146,"10",Y,"3",AUTO,O,Cbl,Coal - black,mineral deposit
149.6094,-26.0453,mineral_deposits.3555,"335047",Elimatta,,QLD,149.6093600332,-26.0453081218,"250",Y,"2",AUTO,O,Cbl,Coal - black,mineral deposit
120.9324,-27.41,mineral_deposits.3556,"336062",Lotus South - Mt McClure,Bronzewing Gold Project,WA,120.9324,-27.41,"999",N,"6",AUTO,O,Au,Gold,mineral deposit
121.1707,-30.9895,mineral_deposits.3557,"333444",Empress/Alicia,Tindals Project,WA,121.1707,-30.9895,"500",N,"5",AUTO,O,Au,Gold,historic mine
