"46270DO002_201617 Land Management and Farming in Australia, 2016�17",,,,,,,
Released at 11:30 am (Canberra time) 26 June 2018,,,,,,,
"Land Management and Farming in Australia, 2016-17 � Australia, States and Territories and NRM regions�2016-17",,,,,,,
,,,,,,,
Region code,Region label,Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors
102,Central West,AGLANDLSAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land sold (ha),"115,225",*,124,^
102,Central West,AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"107,690",*,103,^
102,Central West,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),"115,225",*,124,^
102,Central West,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"107,690",*,103,^
102,Central West,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"133,857",*,405,^
102,Central West,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"834,390",^,"1,013",
102,Central West,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"261,785",^,366,^
102,Central West,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"1,677,018",,"2,245",
102,Central West,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"179,508",,883,
102,Central West,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"83,521",^,413,^
102,Central West,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),"49,363",^,340,^
102,Central West,LMPAST2CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Two cultivations - Area (ha),"33,424",^,192,^
102,Central West,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),"13,199",**,73,*
102,Central West,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,497,510",,"1,910",
102,Central West,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"962,911",^,"1,143",
102,Central West,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),"231,364",^,731,
102,Central West,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),"230,232",^,569,^
102,Central West,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"73,003",^,234,^
102,Central West,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"1,046,432",^,"1,266",
102,Central West,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"280,728",^,936,
102,Central West,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),"263,656",^,698,
102,Central West,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"86,202",^,288,^
102,Central West,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),"1,421,761",,"1,886",
102,Central West,LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"199,555",^,627,
102,Central West,LMCRSTMHOBAHA_F,Crop stubble and/or trash management - Hot burn - Total area (ha),"97,720",^,291,^
102,Central West,LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"10,660",*,37,*
102,Central West,LMCRSTMWDRAHA_F,Crop stubble and/or trash management - Windrowed and removed - Total area (ha),"24,976",*,102,*
102,Central West,LMCRSTMINCSAHA_F,Crop stubble and/or trash management - Incorporated into soil - Total area (ha),"222,208",^,575,^
102,Central West,LMCRSTMRETGAHA_F,Crop stubble and/or trash management - Retained on ground- Total area (ha),"196,924",^,386,^
102,Central West,LMCRSTMRESAHA_F,Crop stubble and/or trash management - Retained standing - Total area (ha),"491,767",^,568,
102,Central West,LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"158,498",^,560,^
102,Central West,LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"19,452",*,54,*
102,Central West,LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"39,995",*,285,^
102,Central West,LMCRROTAHALT6_F,Crop management - Crop land sown to pasture for six months or more of the year (ha),"104,057",^,638,^
102,Central West,LMINTCROPNEW_F,Crop management - Intercropping practices - Total area (ha),"77,062",*,279,^
102,Central West,LMINTCROPAHAMS_F,Crop management - Intercropping practices - Mixed inter-row/strip cropping - Area (ha),"36,625",**,37,*
102,Central West,LMINTCROPAHARA_F,Crop management - Intercropping practices - Row alley cropping - Area (ha),"3,547",**,4,**
102,Central West,LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"19,035",^,128,^
102,Central West,LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"13,996",*,94,*
102,Central West,LMINTCROPAHAOT_F,Crop management - Intercropping practices - Other intercropping practices - Area (ha),"3,859",**,22,**
102,Central West,LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"198,025",^,894,
102,Central West,LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"190,580",^,869,
102,Central West,LMSOILENHALT_F,Soil management - Soil enhancer use - All soil enhancers - Volume applied (L),"315,575",**,27,*
102,Central West,LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"8,704",**,21,*
102,Central West,LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"6,616",^,21,*
102,Central West,LMSOILENHAHAGM_F,Soil management - Soil enhancer use - Green manure - Area applied to (ha),np,,15,**
102,Central West,LMSOILENHAHAMU_F,Soil management - Soil enhancer use - Mulch - Area applied to (ha),np,,np,
102,Central West,LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,,np,
102,Central West,LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"62,292",^,515,^
102,Central West,LMSOILENHATOLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Amount applied (t),np,,515,^
102,Central West,LMSOILENHALTLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Volume applied (L),np,,np,
102,Central West,LMSOILENHAHADM_F,Soil management - Soil enhancer use - Dolomite - Area applied to (ha),"2,809",**,35,**
102,Central West,LMSOILENHATODM_F,Soil management - Soil enhancer use - Dolomite - Amount applied (t),np,,35,**
102,Central West,LMSOILENHAHAGY_F,Soil management - Soil enhancer use - Gypsum - Area applied to (ha),"50,467",^,284,^
102,Central West,LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"42,368",^,284,^
102,Central West,LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,,np,
102,Central West,LMSOILENHAHAPM_F,Soil management - Soil enhancer use - Poultry manure - Area applied to (ha),"17,950",**,134,*
102,Central West,LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"22,110",**,134,*
102,Central West,LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"52,860",*,100,*
102,Central West,LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"26,989",**,86,*
102,Central West,LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,,14,**
102,Central West,LMFINHIBAHA_F,Fertiliser - Fertiliser containing nitrification inhibitor - Area applied to (ha),"18,041",**,35,**
102,Central West,LMFINHIBATO_F,Fertiliser - Fertiliser containing nitrification inhibitor - Amount applied (t),"1,155",**,35,**
102,Central West,LMSLFERTAHANITRA_F,Fertiliser - Nitrate slow release fertiliser - Area applied to (ha),"106,511",*,272,^
102,Central West,LMSLFERTATONITRA_F,Fertiliser - Nitrate slow release fertiliser - Weight applied (t),"7,321",^,272,^
102,Central West,LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"104,239",^,386,^
102,Central West,LMSLFERTATOURE_F,Fertiliser - Urea slow release fertiliser - Weight applied (t),"12,456",^,386,^
102,Central West,LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"34,268",*,99,*
102,Central West,LMSLFERTATOOT_F,Fertiliser - Other slow release fertiliser - Weight applied (t),"2,898",*,99,*
102,Central West,AGFERTTYPEAHASSP_F,Fertiliser - Fertiliser use - Single superphosphate - Area applied to (ha),"121,713",^,479,^
102,Central West,AGFERTTYPEATOSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Weight applied (t),"16,046",^,479,^
102,Central West,AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,,np,
102,Central West,AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"77,941",*,130,^
102,Central West,AGFERTTYPEATODTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Weight applied (t),"10,551",*,130,^
102,Central West,AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,,np,
102,Central West,AGFERTTYPEAHAOPB_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Area applied to (ha),"160,377",*,193,^
102,Central West,AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,498",*,189,^
102,Central West,AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),"34,536",**,11,**
102,Central West,AGFERTTYPEAHAPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Area applied to (ha),np,,25,**
102,Central West,AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,,8,**
102,Central West,AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,,np,
102,Central West,AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"512,096",,887,
102,Central West,AGFERTTYPEATOURE_F,Fertiliser - Fertiliser use - Urea - Weight applied (t),"66,366",,887,
102,Central West,AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,,8,**
102,Central West,AGFERTTYPEAHAAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Area applied to (ha),"101,309",^,145,^
102,Central West,AGFERTTYPEATOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Weight applied (t),"10,881",*,145,^
102,Central West,AGFERTTYPEAHAUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Area applied to (ha),"70,035",**,34,**
102,Central West,AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"3,595,675",**,34,**
102,Central West,AGFERTTYPEAHAANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Area applied to (ha),"21,451",*,35,*
102,Central West,AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"3,462",*,35,*
102,Central West,AGFERTTYPEAHAPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Area applied to (ha),np,,14,**
102,Central West,AGFERTTYPEATOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Weight applied (t),np,,14,**
102,Central West,AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,098,424",,"1,593",
102,Central West,AGFERTTYPEATOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Weight applied (t),"84,903",,"1,593",
102,Central West,AGFERTTYPEALOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Volume applied (L),np,,31,*
102,Central West,AGFERTTYPEAHAONS_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Area applied to (ha),"10,234",*,76,*
102,Central West,AGFERTTYPEATOONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Weight applied (t),"1,147",**,70,*
102,Central West,AGFERTTYPELTRONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Volume applied (L),np,,np,
102,Central West,AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"15,784",**,36,*
102,Central West,AGFERTTYPEATOOTH_F,Fertiliser - Fertiliser use - All other fertilisers - Weight applied (t),664,*,28,*
102,Central West,AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,,np,
102,Central West,LMFCROPAHAIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Area fertilised (ha),"2,604",*,22,**
102,Central West,LMFCROPATOIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Weight applied (t),632,*,15,**
102,Central West,LMFCROPALTIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Volume applied (L),np,,np,
102,Central West,LMFCROPAHANIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Area fertilised (ha),"39,469",*,123,*
102,Central West,LMFCROPATONIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Weight applied (t),"3,083",*,81,*
102,Central West,LMFCROPAHACOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Area fertilised (ha),"30,179",^,85,^
102,Central West,LMFCROPATOCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Weight applied (t),"14,913",,84,^
102,Central West,LMFCROPALTCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Volume applied (L),np,,np,
102,Central West,LMFCROPAHARI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Rice - Area fertilised (ha),np,,np,
102,Central West,LMFCROPATORI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Rice - Weight applied (t),np,,np,
102,Central West,LMFCROPAHAOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Area fertilised (ha),"10,203",^,71,*
102,Central West,LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,298",*,68,*
102,Central West,LMFCROPALTOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Volume applied (L),np,,np,
102,Central West,LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"811,100",,958,
102,Central West,LMFCROPATOOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Weight applied (t),"83,475",^,901,
102,Central West,LMFCROPALTOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Volume applied (L),"3,144,849",**,55,*
103,Greater Sydney,AGLANDTOTLAHA_F,Area of holding (ha) (a),"70,878",,"1,315",
103,Greater Sydney,AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"9,711",^,888,
103,Greater Sydney,AGNONPROD_AHACON_F,Land use - Land set aside for conservation/protection purposes - Area (ha) (b),"5,672",^,344,^
103,Greater Sydney,AGNONPROD_AHAOTH_F,Land use - Other areas not used for agricultural production - Area (ha) (c),"4,039",,747,
103,Greater Sydney,AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"61,726",,"1,239",
103,Greater Sydney,AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"13,612",^,864,
103,Greater Sydney,AGLANDGRAZEHA_F,Land use - Land mainly used for grazing - Total area (ha) (e),"46,547",,344,
103,Greater Sydney,AGPROD_AHAGRI_F,Land use - Land mainly used for grazing - Grazing on improved pastures - Area (ha),"16,668",,278,^
103,Greater Sydney,AGPROD_AHAGRO_F,Land use - Land mainly used for grazing - Grazing on other land - Area (ha) (f),"29,879",,113,^
103,Greater Sydney,AGPROD_AHACRGR_D,Land use - Land mainly used for cropping and improved pastures - Total area (ha),"30,280",,"1,079",
103,Greater Sydney,AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),169,,38,
103,Greater Sydney,AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),19,*,20,**
103,Greater Sydney,AGPRODFORNATAHA_F,Land use - Land mainly used for forestry - Native forest - Area (ha),150,*,35,*
103,Greater Sydney,AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"1,398",^,205,^
103,Greater Sydney,AGLANDLSAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land sold (ha),np,,10,*
103,Greater Sydney,AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,,43,*
103,Greater Sydney,AGLANDLSAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land sold (ha),np,,np,
103,Greater Sydney,AGLANDLLVAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land leased out or vacated (ha),np,,np,
103,Greater Sydney,AGLANDLSAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land sold (ha),np,,np,
103,Greater Sydney,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),180,*,15,*
103,Greater Sydney,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"1,542",*,61,*
103,Greater Sydney,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"1,977",,34,*
103,Greater Sydney,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"1,797",*,44,*
103,Greater Sydney,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"3,392",^,19,*
103,Greater Sydney,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"5,458",,158,^
103,Greater Sydney,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"2,270",,69,
103,Greater Sydney,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"1,727",^,22,^
103,Greater Sydney,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),239,*,26,*
103,Greater Sydney,LMPAST2CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Two cultivations - Area (ha),160,**,11,**
103,Greater Sydney,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),146,*,23,*
103,Greater Sydney,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"3,188",,116,
103,Greater Sydney,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"2,134",,25,^
103,Greater Sydney,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),270,*,35,*
103,Greater Sydney,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),235,^,26,*
103,Greater Sydney,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),548,*,37,*
103,Greater Sydney,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"3,860",,39,^
103,Greater Sydney,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),509,*,54,^
103,Greater Sydney,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),395,*,37,*
103,Greater Sydney,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),694,*,50,^
103,Greater Sydney,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),94,*,5,*
103,Greater Sydney,LMCRSTMRETGAHA_F,Crop stubble and/or trash management - Retained on ground- Total area (ha),47,**,2,**
103,Greater Sydney,LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),47,*,3,*
103,Greater Sydney,LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),671,*,31,*
103,Greater Sydney,LMCRROTAHALT6_F,Crop management - Crop land sown to pasture for six months or more of the year (ha),"1,628",^,35,*
103,Greater Sydney,LMINTCROPNEW_F,Crop management - Intercropping practices - Total area (ha),"1,412",*,114,^
103,Greater Sydney,LMINTCROPAHAMS_F,Crop management - Intercropping practices - Mixed inter-row/strip cropping - Area (ha),609,*,80,*
103,Greater Sydney,LMINTCROPAHARE_F,Crop management - Intercropping practices - Relay cropping - Area (ha),89,**,23,**
103,Greater Sydney,LMINTCROPAHARA_F,Crop management - Intercropping practices - Row alley cropping - Area (ha),108,**,30,**
103,Greater Sydney,LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),119,*,36,*
103,Greater Sydney,LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),221,*,10,**
103,Greater Sydney,LMINTCROPAHAOT_F,Crop management - Intercropping practices - Other intercropping practices - Area (ha),267,,2,*
103,Greater Sydney,LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"5,366",,467,
103,Greater Sydney,LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"38,846",*,460,
103,Greater Sydney,LMSOILENHALT_F,Soil management - Soil enhancer use - All soil enhancers - Volume applied (L),np,,np,
103,Greater Sydney,LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),503,*,67,*
103,Greater Sydney,LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"7,262",*,67,*
103,Greater Sydney,LMSOILENHAHAGM_F,Soil management - Soil enhancer use - Green manure - Area applied to (ha),291,*,25,*
103,Greater Sydney,LMSOILENHAHAMU_F,Soil management - Soil enhancer use - Mulch - Area applied to (ha),88,*,52,^
103,Greater Sydney,LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"1,265",^,52,^
103,Greater Sydney,LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),893,^,131,^
103,Greater Sydney,LMSOILENHATOLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Amount applied (t),"1,099",^,131,^
103,Greater Sydney,LMSOILENHAHADM_F,Soil management - Soil enhancer use - Dolomite - Area applied to (ha),326,^,56,^
103,Greater Sydney,LMSOILENHATODM_F,Soil management - Soil enhancer use - Dolomite - Amount applied (t),371,*,56,^
103,Greater Sydney,LMSOILENHAHAGY_F,Soil management - Soil enhancer use - Gypsum - Area applied to (ha),227,^,17,^
103,Greater Sydney,LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,,18,^
103,Greater Sydney,LMSOILENHAHAPM_F,Soil management - Soil enhancer use - Poultry manure - Area applied to (ha),"2,983",^,283,^
103,Greater Sydney,LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"28,616",*,284,^
103,Greater Sydney,LMSOILENHALTPM_F,Soil management - Soil enhancer use - Poultry manure - Volume applied (L),np,,np,
103,Greater Sydney,LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),54,*,27,*
103,Greater Sydney,LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,,27,*
103,Greater Sydney,LMFINHIBAHA_F,Fertiliser - Fertiliser containing nitrification inhibitor - Area applied to (ha),np,,17,*
103,Greater Sydney,LMFINHIBATO_F,Fertiliser - Fertiliser containing nitrification inhibitor - Amount applied (t),144,**,17,*
103,Greater Sydney,LMSLFERTAHANITRA_F,Fertiliser - Nitrate slow release fertiliser - Area applied to (ha),"1,121",*,141,^
103,Greater Sydney,LMSLFERTATONITRA_F,Fertiliser - Nitrate slow release fertiliser - Weight applied (t),820,^,141,^
103,Greater Sydney,LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),299,*,82,^
103,Greater Sydney,LMSLFERTATOURE_F,Fertiliser - Urea slow release fertiliser - Weight applied (t),97,^,82,^
103,Greater Sydney,LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),501,*,77,*
103,Greater Sydney,LMSLFERTATOOT_F,Fertiliser - Other slow release fertiliser - Weight applied (t),482,*,77,*
103,Greater Sydney,AGFERTTYPEAHASSP_F,Fertiliser - Fertiliser use - Single superphosphate - Area applied to (ha),"4,758",^,45,^
103,Greater Sydney,AGFERTTYPEATOSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Weight applied (t),478,^,45,^
103,Greater Sydney,AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,,np,
103,Greater Sydney,AGFERTTYPEATODTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Weight applied (t),np,,np,
103,Greater Sydney,AGFERTTYPEAHAOPB_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Area applied to (ha),97,*,18,*
103,Greater Sydney,AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),22,*,18,*
103,Greater Sydney,AGFERTTYPEAHAPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Area applied to (ha),np,,14,^
103,Greater Sydney,AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,,13,^
103,Greater Sydney,AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"2,478",^,138,^
103,Greater Sydney,AGFERTTYPEATOURE_F,Fertiliser - Fertiliser use - Urea - Weight applied (t),649,^,138,^
103,Greater Sydney,AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,,np,
103,Greater Sydney,AGFERTTYPEAHAAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Area applied to (ha),49,*,20,*
103,Greater Sydney,AGFERTTYPEATOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Weight applied (t),31,**,20,*
103,Greater Sydney,AGFERTTYPEAHAANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Area applied to (ha),np,,np,
103,Greater Sydney,AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,,np,
103,Greater Sydney,AGFERTTYPEAHAPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Area applied to (ha),np,,107,^
103,Greater Sydney,AGFERTTYPEATOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Weight applied (t),268,^,108,^
103,Greater Sydney,AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,120",^,45,^
